resolution,event,event_time,before_time,after_time,field,before,after,ratio,delta_log10_abs,leaf_count,max_level
n128,11,0.4441985172511066,0.44132495063936317,0.4446690209220471,Z-norm2,0.0035037772620984766,0.0034832813317860157,0.994150332975166,-0.002547937690303481,182,7
n256,11,0.4441985172511066,0.44388354846227984,0.4461463561065876,C-norm2,0.0002272072875088917,0.00022445769763165116,0.9878983200433968,-0.005287753101178794,182,7
n256,11,0.4441985172511066,0.44388354846227984,0.4461463561065876,H-norm2,0.00014209016885668223,0.0001389485824915085,0.9778901919080519,-0.009709909758229607,182,7
n256,11,0.4441985172511066,0.44388354846227984,0.4461463561065876,M-norm2,2.2540010066865674e-05,2.3269061885439875e-05,1.032344786733078,0.01382476896523066,182,7
n256,11,0.4441985172511066,0.44388354846227984,0.4461463561065876,Z-norm2,1.441081379433653e-05,1.4316430110501014e-05,0.9934504959135195,-0.0028537691049894676,182,7
n512,11,0.4441985172511066,0.4432605196076314,0.4445279345611613,C-norm2,5.245560996959995e-06,5.259343313868617e-06,1.002627424772414,0.0011395796550850434,182,7
n512,11,0.4441985172511066,0.4432605196076314,0.4445279345611613,H-norm2,3.4043334743079327e-06,3.412306228484471e-06,1.0023419427728535,0.0010159036928119036,182,7
n512,11,0.4441985172511066,0.4432605196076314,0.4445279345611613,M-norm2,1.2073978500123164e-06,1.2106775490729821e-06,1.002716336674471,0.001178090706613233,182,7
n512,11,0.4441985172511066,0.4432605196076314,0.4445279345611613,Z-norm2,1.5299488815554317e-07,1.5360325163519666e-07,1.003976364746481,0.0017234889235382411,182,7
n128,12,0.4770189451012465,0.47601249098013976,0.4809943531588072,C-norm2,0.05148484436458673,0.05075684461928327,0.9858599214139957,-0.006184788586890644,179,7
n128,12,0.4770189451012465,0.47601249098013976,0.4809943531588072,H-norm2,0.033698351467423115,0.03295663278788873,0.9779894669253653,-0.009665822595655182,179,7
n128,12,0.4770189451012465,0.47601249098013976,0.4809943531588072,M-norm2,0.003720137012173391,0.0038760560756916354,1.0419121830749865,0.017831116263753444,179,7
