block,level,x,y,z,r,h,w,rho,alpha,K,product_derivative_defect,half_ell_factorized,half_ell_direct,energy_rate_margin,frozen_spectral_abscissa
42,7,-0.09765625,-0.09765625,-0.08203125,0.1606319155855632,0.0078125,0.07593786233748108,2.2544921394348814,0.17120131372533923,-0.04355939398286947,5.64872190138654e-05,5.217850177384932e-05,7.2164589904805234e-06,15.777236998437793,-15.578801446793376
43,7,-0.01171875,-0.06640625,-0.08203125,0.10618966577397021,0.0078125,0.042676141705817294,2.2129058006741347,0.09443828153119445,-0.06121855012060897,1.022823611060908e-05,0.00016700311657095532,0.0001568784399401241,15.71815160046298,-15.549312091290131
44,7,-0.11328125,-0.02734375,-0.08984375,0.1471469390768544,0.0078125,0.06755339040003037,2.281526508486672,0.15412485093581835,-0.05105889765740563,8.731068773269802e-05,0.00015553756452911911,0.00021530517261132205,15.735217409444477,-15.576624197019209
45,7,-0.04296875,-0.04296875,-0.12109375,0.13548550934394238,0.0078125,0.0603869062742294,2.29140600880979,0.13837091989020286,-0.05785422285290312,0.00014475888247041923,0.001438368528342218,0.0012940650079012132,15.71163962333838,-15.56074762204138
45,7,-0.00390625,-0.01171875,-0.07421875,0.07523968861038369,0.0078125,0.02542278353363302,1.9990869812448346,0.050822355589091324,-0.033087896653789806,8.14126941090526e-05,0.000652981283473953,0.0005716536377280331,15.867241171685313,-15.58592340936685
45,7,-0.00390625,-0.05859375,-0.06640625,0.08864691967117357,0.0078125,0.032590109635504336,2.099994021683238,0.0684390354005604,-0.04784729363000343,0.0003436051330117844,0.007220386667582014,0.006882475709649293,15.776612867561392,-15.51741174458258
46,7,-0.10546875,-0.07421875,-0.01953125,0.1304359988833125,0.0078125,0.057248053440180274,2.287662101145209,0.13096420221943603,-0.05911705052631215,7.26330176456484e-05,5.253520594077798e-05,0.00012147300715314688,15.709842690088351,-15.559623427389168
47,7,-0.02734375,-0.07421875,-0.00390625,0.0791919333309113,0.0078125,0.02750820302686928,2.027441700709462,0.05577127792825702,-0.03772382718561559,0.00013031949557983498,0.0006990750925325186,0.0005687966062826282,15.841326682139712,-15.587603502293355
48,7,-0.07421875,-0.00390625,-0.04296875,0.08584867568685903,0.0078125,0.031097702794528982,2.078212595890745,0.06462763765085695,-0.04540364689075341,0.00011524015961506998,0.0007092991343366859,0.0006013850839845654,15.784497697770616,-15.577404775374587
49,8,-0.044921875,-0.044921875,-0.056640625,0.08511233816211299,0.00390625,0.03056109800955781,2.066851610817975,0.06316525464942058,-0.044029286077691666,3.867220050978109e-05,0.0013240551966147442,0.0013454090393952244,15.678161992223403,-15.232570764492554
49,8,-0.048828125,-0.060546875,-0.048828125,0.09183842144928708,0.00390625,0.034330511298667536,2.1187167655141588,0.07273662985716016,-0.05025377024723737,2.1095076266207027e-05,0.004292924288340832,0.00428318832451254,15.560552508523537,-15.103465148570583
49,8,-0.056640625,-0.044921875,-0.044921875,0.08511233816211299,0.00390625,0.03056109800955589,2.0668516108180017,0.06316525464941741,-0.04402928607761545,3.867220050865469e-05,0.0013240551965951503,0.0013454090393764623,15.678161992233177,-15.23257076449882
49,8,-0.041015625,-0.056640625,-0.041015625,0.08107233429889554,0.00390625,0.028355728725870895,2.038005448673959,0.05778912964444558,-0.0397614764281241,4.049787145394439e-05,0.0015115621650257768,0.0015512025668732374,15.702622256627178,-15.285397726676283
50,8,-0.001953125,-0.041015625,-0.060546875,0.07315750312628141,0.00390625,0.02418972733843089,1.9858120530209526,0.04803625210794651,-0.03213353492199266,5.911692387847785e-05,0.00809340349606666,0.008036895732881697,15.658655586754179,-15.180754559508838
50,8,-0.005859375,-0.033203125,-0.041015625,0.053094832886985105,0.00390625,0.014229143332424431,1.861453798933993,0.026486892911717755,-0.011632891125670517,4.5010064960789146e-05,6.615427529545127e-05,3.4416145615492134e-05,16.020945473758214,-15.521261232258443
