# PC-GH Gauge A0 M=1; derivatives are d/d(log(r/M))
# log_r A dx_A chi dx_chi beta_r dx_beta_r K dx_K At_radial dx_At_radial h_perp dx_h_perp h_radial dx_h_radial
-1.81575924081317588e+01 2.95536747258628713e-18 6.45036792351671450e-18 9.82602114051102608e-17 1.96520422472378685e-16 7.17496323343124436e-09 7.17496320315777563e-09 3.00936505909419338e-01 -1.74646382360558397e-09 -1.35362578527892463e+00 5.23463914141115392e-09 6.01873011301493288e-01 -4.05751733888496302e-09 -3.95714118553626290e-09 -3.95714113387708995e-09
-1.81508465533671277e+01 2.99920276133313861e-18 6.54604257070225001e-18 9.95948929557408467e-17 1.99189785566520708e-16 7.22352811478978834e-09 7.22352808408620636e-09 3.00936505897594131e-01 -1.75944055477938759e-09 -1.35362578524348232e+00 5.27331128207251816e-09 6.01873011274020153e-01 -4.08762605495405403e-09 -3.98392572564252846e-09 -3.98392567324965044e-09
-1.81441006986024966e+01 3.04368733382181823e-18 6.64313434081840168e-18 1.00947703663783321e-16 2.01895406975336550e-16 7.27242171528090876e-09 7.27242168414110896e-09 3.00936505885681660e-01 -1.77233616521316101e-09 -1.35362578520777799e+00 5.31227696146771897e-09 6.01873011246344514e-01 -4.11760626470017683e-09 -4.01089156117008949e-09 -4.01089150803385403e-09
-1.81373548438378656e+01 3.08883235690113562e-18 6.74166760656463874e-18 1.02318889779999063e-16 2.04637779200345691e-16 7.32164625989237691e-09 7.32164622831015707e-09 3.00936505873681814e-01 -1.78544161207454532e-09 -1.35362578517180987e+00 5.35157531316328242e-09 6.01873011218465481e-01 -4.14808646799379014e-09 -4.03803991924581177e-09 -4.03803986535403451e-09
-1.81306089890732345e+01 3.13464849521368360e-18 6.84166564452801019e-18 1.03708700900006169e-16 2.07417401432781094e-16 7.37120398867214033e-09 7.37120395664120645e-09 3.00936505861592818e-01 -1.79862818459240458e-09 -1.35362578513557552e+00 5.39112563244248562e-09 6.01873011190379392e-01 -4.17871951963820707e-09 -4.06537203530255543e-09 -4.06537198064538960e-09
-1.81238631343086034e+01 3.18114270780912947e-18 6.94314364348991522e-18 1.05117390009713512e-16 2.10234779644457352e-16 7.42109715683027957e-09 7.42109712434426483e-09 3.00936505849414893e-01 -1.81197164798477690e-09 -1.35362578509907383e+00 5.43091536320796369e-09 6.01873011162086691e-01 -4.20967301775425738e-09 -4.09288915313542900e-09 -4.09288909770286075e-09
-1.81171172795439723e+01 3.22832563088664956e-18 7.04612481795697394e-18 1.06545213531371144e-16 2.13090426679871162e-16 7.47132803484160993e-09 7.47132800189405156e-09 3.00936505837146151e-01 -1.82534702571693521e-09 -1.35362578506230236e+00 5.47107543456591229e-09 6.01873011133583380e-01 -4.24077183575416790e-09 -4.12059252495834041e-09 -4.12059246873795046e-09
-1.81103714247793413e+01 3.27621042918577252e-18 7.15063790121335187e-18 1.07992431370246782e-16 2.15984862349554388e-16 7.52189890854903106e-09 7.52189887513336292e-09 3.00936505824787703e-01 -1.83878347017944927e-09 -1.35362578502525910e+00 5.51148967471919768e-09 6.01873011104871125e-01 -4.27200577263904281e-09 -4.14848341146101543e-09 -4.14848335444248221e-09
-1.81036255700147102e+01 3.32480354443877392e-18 7.25669695294648463e-18 1.09459306961935858e-16 2.18918613524694540e-16 7.57281207926751936e-09 7.57281204537710083e-09 3.00936505812337329e-01 -1.85243746904363214e-09 -1.35362578498794228e+00 5.55219560035244528e-09 6.01873011075945707e-01 -4.30368950612481201e-09 -4.17656308186636179e-09 -4.17656302403837031e-09
-1.80968797152500791e+01 3.37411868487040078e-18 7.36433189264821958e-18 1.10946107320314884e-16 2.21892214233040968e-16 7.62406986388887955e-09 7.62406982951695918e-09 3.00936505799795251e-01 -1.86604890776395512e-09 -1.35362578495034969e+00 5.59325806365685322e-09 6.01873011046807016e-01 -4.33536450340725289e-09 -4.20483281398821550e-09 -4.20483275533846640e-09
-1.80901338604854480e+01 3.42416527249329892e-18 7.47356328474866948e-18 1.12453103086145116e-16 2.24906205756112561e-16 7.67567459498715732e-09 7.67567456012689268e-09 3.00936505787160691e-01 -1.87985990048949129e-09 -1.35362578491247909e+00 5.63457763344816544e-09 6.01873011017453385e-01 -4.36741462596271472e-09 -4.23329389428950071e-09 -4.23329383480731344e-09
-1.80833880057208169e+01 3.47495273494729975e-18 7.58441170595982112e-18 1.13980568576337573e-16 2.27961136727727659e-16 7.72762862092480465e-09 7.72762858556926562e-09 3.00936505774432428e-01 -1.89380396153120693e-09 -1.35362578487432894e+00 5.67619094087447432e-09 6.01873010987882373e-01 -4.39979980558206084e-09 -4.26194761794077760e-09 -4.26194755761373783e-09
-1.80766421509561859e+01 3.52649511269221676e-18 7.69690780090783805e-18 1.15528781833886318e-16 2.31057563233870444e-16 7.77993430595952836e-09 7.77993427010167232e-09 3.00936505761609907e-01 -1.90780617236359328e-09 -1.35362578483589679e+00 5.71814963966024156e-09 6.01873010958092203e-01 -4.43234582719177325e-09 -4.29079528887915499e-09 -4.29079522769445217e-09
-1.80698962961915548e+01 3.57880186821778939e-18 7.81107222236789428e-18 1.17098024678480465e-16 2.34196048913915347e-16 7.83259403035190300e-09 7.83259399398459139e-09 3.00936505748692795e-01 -1.92183770424741543e-09 -1.35362578479718065e+00 5.76040797802467911e-09 6.01873010928082319e-01 -4.46495026866817070e-09 -4.31983821986766535e-09 -4.31983815781496469e-09
-1.80631504414269237e+01 3.63188371407847040e-18 7.92692835149918844e-18 1.18688582757803511e-16 2.37377165063225418e-16 7.88561019047367034e-09 7.88561015358966863e-09 3.00936505735680648e-01 -1.93603941709883706e-09 -1.35362578475817852e+00 5.80289981510132796e-09 6.01873010897851501e-01 -4.49795016574806945e-09 -4.34907773255498561e-09 -4.34907766962169412e-09
