resolution,time,axisTau,dt,C-norm2,H-norm2,M-norm2,Z-norm2,axisKret,maxAbsKret,max_abs_K,nmb_total,maxRefLev,axisLapse
n512,1.0318250265540114,0.6354780259922498,0.0031087167501422605,1.4587599797989133e-05,7.1842548366375296e-06,2.592755958786505e-06,1.1911379730342827e-06,0.0005630326697948806,17.089651143455693,0.20014323453450117,44.0,1.0,0.6158821528465539
n512,1.0442833580570754,0.6431508916819287,0.0031180985786708622,1.4876238811350999e-05,7.269972767105387e-06,2.622775330082345e-06,1.2343393164205577e-06,0.0005629750699680504,17.13898631342144,0.19725273378830122,44.0,1.0,0.6158824212344182
n512,1.0567780672773448,0.6508461651808974,0.003127072022086348,1.5169962268830661e-05,7.355803313225178e-06,2.6530844229644966e-06,1.2787106321467357e-06,0.0005629165501513131,17.16556862427199,0.19428042092866513,44.0,1.0,0.6158826999447334
n512,1.0693093993919922,0.6585639976407793,0.003136213089572503,1.5469016495078927e-05,7.4419330617115655e-06,2.683662252422771e-06,1.324271593560179e-06,0.0005628570852654687,17.169741469972838,0.19161903768734412,44.0,1.0,0.6158829892908418
n512,1.0818762642885937,0.6663037178359914,0.003145065440905162,1.5773627781844236e-05,7.528557664109269e-06,2.7144776802544033e-06,1.371037121001592e-06,0.0005627966645469731,17.151884840641056,0.1888955493799821,44.0,1.0,0.6158832895607196
n512,1.094479045464418,0.6740655621168301,0.0031539678637270176,1.6083997056749028e-05,7.615822257875939e-06,2.745502913308826e-06,1.41902758330294e-06,0.0005627352784233812,17.11241691482876,0.18609655095772618,44.0,1.0,0.615883601082848
n512,1.1071166231652227,0.6818488410109048,0.0031626975221261586,1.6400176295450673e-05,7.703745212914484e-06,2.7767110302441183e-06,1.4682576082982968e-06,0.0005626729342898967,17.051798746857777,0.18332447406729055,44.0,1.0,0.61588392415533
n512,1.1197893997280928,0.6896538024818374,0.003171364525429102,1.6722155861019336e-05,7.792251176504464e-06,2.808084644283065e-06,1.5187474893508285e-06,0.0005626096404931696,16.97052451667406,0.18077261297137145,44.0,1.0,0.6158842591202971
n512,1.1324962549426445,0.6974797567857337,0.0031799703232031247,1.7049844688775013e-05,7.881207473973695e-06,2.8396071412696685e-06,1.5705113182038332e-06,0.0005625454182782846,16.869135322534188,0.17815096579431144,44.0,1.0,0.615884606285579
n512,1.1452374932061502,0.705326891577166,0.003188405922409171,1.7383202250296073e-05,7.970502975517171e-06,2.871268628895479e-06,1.6235687436444839e-06,0.0005624802855764366,16.748199483938205,0.1754609337929511,44.0,1.0,0.6158849660033225
n512,1.1580122029613005,0.7131946456282621,0.0031968870621176073,1.7722216929428516e-05,8.060076225900792e-06,2.9030589681129146e-06,1.677934267836315e-06,0.0005624142650971221,16.608994754810013,0.17286058370898033,44.0,1.0,0.6158853385984578
n512,1.1708204895489056,0.7210830840086458,0.003205096027626617,1.806698518519059e-05,8.149950814690197e-06,2.9349741746782582e-06,1.7336265868234891e-06,0.0005623473705235972,16.49524118419131,0.1704152672373114,44.0,1.0,0.6158857244306142
n512,1.1836616475659107,0.7289917724681435,0.0032134520328584346,1.8417632176347312e-05,8.240188554566897e-06,2.967014172766565e-06,1.790661035516296e-06,0.0005622796122295843,16.364863461084866,0.16790640001705162,44.0,1.0,0.6158861238410853
n512,1.1965355068702788,0.7369206064215531,0.003221439616378691,1.877428288750225e-05,8.330831216351473e-06,2.9991884121910647e-06,1.8490555463931642e-06,0.0005622109885827092,16.218374467878917,0.16533544760710825,44.0,1.0,0.6158865371936586
n512,1.209441726655905,0.7448693761797827,0.003229670284741077,1.9137002231470844e-05,8.421854481872184e-06,3.031513821137912e-06,1.908827714150781e-06,0.000562141487967125,16.056312979985414,0.162872478055909,44.0,1.0,0.6158869648536504
n512,1.2223797811745507,0.7528377581559156,0.0032374421947738625,1.9505800102517013e-05,8.513176648445057e-06,3.0640112660861155e-06,1.9699947670045316e-06,0.0005620710907138954,15.879241971515464,0.16053980090649883,44.0,1.0,0.6158874071857172
n512,1.235349654196441,0.7608257425747311,0.003245502905011388,1.988068168481422e-05,8.604698855482542e-06,3.0967019996659065e-06,2.032576959555562e-06,0.0005619997674705436,15.687736105373887,0.15814911799535375,44.0,1.0,0.6158878645776348
n512,1.2483505633261993,0.7688328477950406,0.0032531097843228928,2.0261650623413802e-05,8.696341241074985e-06,3.129599160823421e-06,2.0965914491698976e-06,0.0005619274887950055,15.482397187800563,0.15570199901773032,44.0,1.0,0.6158883373969564
n512,1.2613827131009279,0.7768592000214898,0.0032609635750126356,2.0648802540008552e-05,8.788101751558225e-06,3.1627087408094943e-06,2.162060719818265e-06,0.0005618542196848198,15.26382547031854,0.1533523613729965,44.0,1.0,0.6158888260535516
n512,1.274445161739653,0.7849042194608218,0.003268448823746543,2.104227868027268e-05,8.880057987811745e-06,3.1960239979672906e-06,2.229001956575205e-06,0.0005617799359659096,15.052595578745752,0.1511342043662397,44.0,1.0,0.61588933092066
n512,1.287538280736411,0.7929681351574887,0.0032761016721278573,2.144230480974473e-05,8.972347762801125e-06,3.229534561504801e-06,2.2974393507375277e-06,0.0005617046136934898,14.858786665951051,0.14886307224510653,44.0,1.0,0.6158898524274802
n512,1.3006609806529204,0.8010502763895483,0.003283466085144503,2.1849046408476068e-05,9.0650853508243e-06,3.2632231354085745e-06,2.3673896920361783e-06,0.0005616282467551709,14.653576878569769,0.14654056664566242,44.0,1.0,0.6158903909525469
n512,1.3138137292803895,0.8091509315233647,0.0032909240335832852,2.226266037794244e-05,9.158339972008869e-06,3.2970758670379267e-06,2.4388780490153075e-06,0.0005615508315645632,14.437465202224002,0.14428969561319818,44.0,1.0,0.6158909469443852
n512,1.326995419890086,0.8172694192001232,0.003298168525742813,2.2683194684127028e-05,9.252109679994784e-06,3.3310751325516787e-06,2.511921027148908e-06,0.0005614723836306206,14.210987897312746,0.14218481983058362,44.0,1.0,0.6158915207920106
n512,1.3402065381205313,0.8254060387922492,0.003305437688363605,2.3110709071832965e-05,9.346365401237212e-06,3.3652072786326217e-06,2.58654395394817e-06,0.0005613929172901869,13.97466617600175,0.14003151154315918,44.0,1.0,0.6158921129585495
n512,1.3534459872093902,0.8335601150916447,0.0033125632773492526,2.3545206729920477e-05,9.441061681531276e-06,3.399454146756515e-06,2.6627632575522843e-06,0.0005613124607139106,13.729060125322965,0.1378313292446849,44.0,1.0,0.6158927238442284
n512,1.3667142568550195,0.8417319499857332,0.0033196497690770716,2.3986771006000245e-05,9.536192170352652e-06,3.433802378972521e-06,2.740604414514541e-06,0.0005612310326257863,13.47842749471167,0.13567269268061907,44.0,1.0,0.6158933539286188
n512,1.3800102609543137,0.8499208748442667,0.003326657559525975,2.4435475704057013e-05,9.631777894862003e-06,3.4682379863762677e-06,2.820083862894032e-06,0.0005611486579751572,13.264074081930694,0.13367738558198133,44.0,1.0,0.6158940036239117
n512,1.3933344564214671,0.8581271713781629,0.0033335674313204333,2.489146779933964e-05,9.727865021559961e-06,3.5027575931869787e-06,2.9012273921435815e-06,0.0005610653434323895,13.041546109148438,0.13163768934501466,44.0,1.0,0.6158946734223274
n512,1.4066858408623104,0.8663502225263146,0.0033404585998943535,2.535482749913433e-05,9.82446232337099e-06,3.537362538145708e-06,2.9840523069844225e-06,0.0005609810944902284,12.811324772284568,0.12955510446245622,44.0,1.0,0.6158953637509921
n512,1.420064783148415,0.8745902557901506,0.0033471978366741316,2.5825643549063822e-05,9.921540099452441e-06,3.5720657099539807e-06,3.068584766738392e-06,0.0005608958969718894,12.57387668039148,0.12748811754953504,44.0,1.0,0.6158960751141671
n512,1.4334704020565523,0.8828467287510291,0.003353973620400171,2.6303931659159168e-05,1.0019022647869793e-05,3.606882059979661e-06,3.1548436860445405e-06,0.0005608097343475578,12.329696512585286,0.12559672653878692,44.0,1.0,0.615896807957398
n512,1.4469029639772641,0.8911198058086227,0.003360548115832382,2.6789744939380222e-05,1.0116835243937429e-05,3.641831176620148e-06,3.2428559217649364e-06,0.0005607225748982728,12.079262156088456,0.1236645863304094,44.0,1.0,0.6158975627937523
n512,1.4603617001243707,0.8994090138083067,0.0033672098020391438,2.7283123708708082e-05,1.0214918867881413e-05,3.676928462242003e-06,3.332642298851452e-06,0.000560634388788978,11.838245126622251,0.12169314686878058,44.0,1.0,0.6158983400863117
n512,1.4738467828309405,0.9077144592362454,0.003373625324478658,2.7784187344656942e-05,1.0313266821845313e-05,3.7121884281457047e-06,3.424230566227261e-06,0.0005605451409303563,11.621078089726982,0.11972138135162201,44.0,1.0,0.6158991403591779
n512,1.4873575473112077,0.9160357330064949,0.003380174241445534,2.8293071662009665e-05,1.0411914815873418e-05,3.747619491161835e-06,3.5176435543130496e-06,0.0005604548065579841,11.398279724542101,0.1179271112225379,44.0,1.0,0.6158999640944992
n512,1.500894054376152,0.9243728729354161,0.003386436404887135,2.8809964734232802e-05,1.051093049056643e-05,3.7832281677060628e-06,3.6129096593314e-06,0.000560363364212488,11.170253704713238,0.12410107573213373,44.0,1.0,0.6159008118119784
n512,1.5144557861304289,0.9327255604218202,0.003392873912942687,2.9335025853830503e-05,1.061037213932019e-05,3.819015792885304e-06,3.7100537379609513e-06,0.0005602708079650009,10.937412684882853,0.131356812963348,44.0,1.0,0.6159016839326383
n512,1.528042659630165,0.9410937447582345,0.00339898818192268,2.986840624735705e-05,1.0710278850805869e-05,3.85498119747399e-06,3.809104051861745e-06,0.0005601771394470311,10.700160432458423,0.13855930904721026,44.0,1.0,0.6159025808822204
n512,1.5416543249582613,0.9494772108148896,0.0034053156661742884,3.0410225460305744e-05,1.0810669141702549e-05,3.891119110201821e-06,3.910087121853258e-06,0.000560082372592433,10.45890319798198,0.14570635994249814,44.0,1.0,0.6159035030704975
