selection_rank,receiver_gid,receiver_i,receiver_j,variable,offset_i,offset_j,operators,source_gid,source_i,source_j,source_status,source_rho,source_z,writer,receiver_stored_value,expected_sender_active_value,absolute_mismatch,exact_byte_equal
1,30,8,31,gamma_xz,1,-1,mixed_rho_z,30,9,30,ACTIVE,5.1484375,-0.0234375,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,2,-1,mixed_rho_z,30,10,30,ACTIVE,5.1640625,-0.0234375,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,3,-1,mixed_rho_z,30,11,30,ACTIVE,5.1796875,-0.0234375,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-3,0,pure_rho,30,5,31,ACTIVE,5.0859375,-0.0078125,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-2,0,pure_rho,30,6,31,ACTIVE,5.1015625,-0.0078125,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-1,0,pure_rho,30,7,31,ACTIVE,5.1171875,-0.0078125,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,0,0,center;pure_rho;pure_z,30,8,31,ACTIVE,5.1328125,-0.0078125,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,1,0,pure_rho,30,9,31,ACTIVE,5.1484375,-0.0078125,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,2,0,pure_rho,30,10,31,ACTIVE,5.1640625,-0.0078125,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,3,0,pure_rho,30,11,31,ACTIVE,5.1796875,-0.0078125,ACTIVE_STATE,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-3,1,mixed_rho_z,51,5,0,SAME_LEVEL_GHOST,5.0859375,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-2,1,mixed_rho_z,51,6,0,SAME_LEVEL_GHOST,5.1015625,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-1,1,mixed_rho_z,51,7,0,SAME_LEVEL_GHOST,5.1171875,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,0,1,pure_z,51,8,0,SAME_LEVEL_GHOST,5.1328125,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,1,1,mixed_rho_z,51,9,0,SAME_LEVEL_GHOST,5.1484375,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,2,1,mixed_rho_z,51,10,0,SAME_LEVEL_GHOST,5.1640625,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,3,1,mixed_rho_z,51,11,0,SAME_LEVEL_GHOST,5.1796875,0.0078125,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-3,2,mixed_rho_z,51,5,1,SAME_LEVEL_GHOST,5.0859375,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-2,2,mixed_rho_z,51,6,1,SAME_LEVEL_GHOST,5.1015625,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,-1,2,mixed_rho_z,51,7,1,SAME_LEVEL_GHOST,5.1171875,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,0,2,pure_z,51,8,1,SAME_LEVEL_GHOST,5.1328125,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
1,30,8,31,gamma_xz,1,2,mixed_rho_z,51,9,1,SAME_LEVEL_GHOST,5.1484375,0.0234375,SAME_RANK_SAME_LEVEL_COPY,0.0,0.0,0.0,True
