axis_tau,region,family,variable,observed_order_rms,difference_128_256_rms,difference_256_512_rms,worst_rho,worst_z,N128_value,N256_value,N512_value,worst_abs_difference_256_512
0.25,outer_layer_0,rhs,rhs_z4c_betay,-0.6916649305956988,6.938633965733111e-08,1.1206909601341774e-07,0.0,-16.0,-5.2883079051247055e-08,1.1820985779366633e-07,3.9270976393479516e-07,2.744999061411288e-07
0.25,outer_layer_0,rhs,rhs_z4c_betax,-0.5327311987385377,1.2907846414850169e-07,1.8673333761145494e-07,16.0,0.0,3.259920140052029e-07,-6.767834228831424e-08,-6.452473871604231e-07,5.775690448721089e-07
0.25,outer_layer_0,state,state_z4c_Theta,-0.38607361986924615,7.063859762809848e-08,9.231277550994044e-08,16.0,0.0,2.2914184457553023e-06,2.1112452367067647e-06,1.8687503846966067e-06,2.42494852010158e-07
0.25,outer_layer_0,state,state_z4c_Khat,-0.031976512475608176,4.1883105825781277e-07,4.282178518916472e-07,16.0,0.0,-1.2103533123788885e-05,-1.1029275622665132e-05,-9.882949083337816e-06,1.1463265393273166e-06
0.25,outer_layer_1,rhs,rhs_z4c_Ayy,-0.7926363591934227,6.393946282948421e-07,1.107583055746334e-06,0.0,-15.875,-3.210607621425509e-05,-3.085854871382219e-05,-3.2950760448355336e-05,2.092211734533145e-06
0.25,outer_layer_1,constraints,con_My,-0.6799622352117997,5.096883878677915e-07,8.165706536686187e-07,0.0,-15.875,-2.826825805823804e-05,-2.9336471752102387e-05,-2.771705490398907e-05,1.619416848113318e-06
0.25,outer_layer_1,rhs,rhs_z4c_Azz,-0.6395896463334709,5.403854613094439e-07,8.418589330181334e-07,15.875,0.0,2.238493358393351e-05,2.100092599038025e-05,2.2844622282157068e-05,1.843696291776819e-06
0.25,outer_layer_1,rhs,rhs_z4c_Axx,-0.5980388709876644,9.140330801786949e-07,1.3835330959547205e-06,15.875,0.0,-4.4616952549663497e-05,-4.191386201252563e-05,-4.5633577387978156e-05,3.719715375452523e-06
0.25,outer_layer_1,constraints,con_H,-0.5242233534255788,1.373883681394162e-06,1.975863410526111e-06,15.875,0.0,-7.052943934027441e-05,-7.382794487587315e-05,-6.950644484855305e-05,4.321500027320102e-06
0.25,outer_layer_1,constraints,con_M,-0.42077007901030977,4.945084090844885e-11,6.619696772135911e-11,15.875,0.0,1.1809845120875874e-09,1.3188874670892572e-09,1.150174685755256e-09,1.687127813340011e-10
