resolution,transfer_order,category,variable,count,rms,linf,order_from_previous
16,4,interface_layer_1,Bz,27,8.141268731823019e-08,2.422180459940213e-07,
16,4,interface_layer_1,Gamx,27,0.0006989739119682664,0.002062153299805934,
16,4,interface_layer_1,Gamy,27,0.0005255858019804637,0.0016557357815236567,
16,4,interface_layer_1,Gamz,27,0.0005226734391615252,0.0016658299115773507,
16,4,interface_layer_1,Khat,27,0.000520945757403638,0.0013817702829388885,
16,4,interface_layer_1,Theta,27,0.00034961531959109296,0.0010939975182801126,
16,4,interface_layer_1,alpha,27,8.090589650947496e-08,1.993532625910177e-07,
16,4,interface_layer_1,betax,27,8.098439909128058e-08,2.3174121408659974e-07,
16,4,interface_layer_1,betay,27,8.106477253310344e-08,2.5068210415448354e-07,
16,4,interface_layer_1,betaz,27,8.114748167527628e-08,2.548724280731357e-07,
16,4,interface_layer_1,chi,27,1.0102228785691185e-05,3.0178207280578235e-05,
16,4,interface_layer_1,gxx,27,2.0388112303218044e-05,6.066595016748284e-05,
16,4,interface_layer_1,gxy,27,1.5324351208985147e-05,4.856447590100176e-05,
16,4,interface_layer_1,gxz,27,1.534137528975668e-05,4.876102572376726e-05,
16,4,interface_layer_1,gyy,27,1.0090405224801863e-05,3.0114196992273842e-05,
16,4,interface_layer_1,gyz,27,8.048608260486757e-08,2.3556899461966378e-07,
16,4,interface_layer_1,gzz,27,1.009745375892219e-05,3.0092759356540547e-05,
16,4,interface_layer_2,Axx,27,3.2352374638509815e-05,9.149765792201619e-05,
16,4,interface_layer_2,Axy,27,5.1340430714372974e-05,0.00012771542502552696,
16,4,interface_layer_2,Axz,27,1.6301367267044612e-05,5.017274658810928e-05,
16,4,interface_layer_2,Ayy,27,1.7795172025806914e-05,4.4063559350507753e-05,
16,4,interface_layer_2,Ayz,27,1.7108107857572347e-05,5.054738103186726e-05,
16,4,interface_layer_2,Azz,27,1.5170827587881566e-05,4.727779462092166e-05,
16,4,interface_layer_2,Bx,27,4.105582368473052e-08,1.234981305607086e-07,
16,4,interface_layer_2,By,27,4.110193961747321e-08,1.2285085924477287e-07,
16,4,interface_layer_2,Bz,27,4.114875492021123e-08,1.1799028087199723e-07,
16,4,interface_layer_2,Gamx,27,4.778856412123443e-05,0.00013676459930637638,
16,4,interface_layer_2,Gamy,27,3.629603159756753e-05,0.00011020816753469324,
16,4,interface_layer_2,Gamz,27,3.482205380444513e-05,0.00011104806685711434,
16,4,interface_layer_2,Khat,27,3.4708882203046055e-05,9.356740265181566e-05,
16,4,interface_layer_2,Theta,27,2.372641289150988e-05,7.393974399412875e-05,
16,4,interface_layer_2,alpha,27,4.0878056857049153e-08,1.0581860035330237e-07,
16,4,interface_layer_2,betax,27,4.092152937093708e-08,1.211018666753914e-07,
16,4,interface_layer_2,betay,27,4.0965633482439483e-08,1.294769279647505e-07,
16,4,interface_layer_2,betaz,27,4.101039301181616e-08,1.3027602374002547e-07,
16,4,interface_layer_2,chi,27,1.416140273284998e-06,4.316439985157985e-06,
16,4,interface_layer_2,gxx,27,2.927147192466139e-06,8.816762390560762e-06,
16,4,interface_layer_2,gxy,27,2.2062169140556262e-06,7.02576565521449e-06,
16,4,interface_layer_2,gxz,27,2.208615547415807e-06,7.014440322765402e-06,
16,4,interface_layer_2,gyy,27,1.4112976389904664e-06,4.292601238185952e-06,
16,4,interface_layer_2,gyz,27,4.068262626532931e-08,1.1918234696055969e-07,
16,4,interface_layer_2,gzz,27,1.41541724528615e-06,4.285513795393198e-06,
16,4,interface_layer_3,Axx,27,8.166751566019946e-09,1.9984722279819955e-08,
16,4,interface_layer_3,Axy,27,8.178540865386466e-09,2.137716488721797e-08,
16,4,interface_layer_3,Axz,27,8.180625141461194e-09,2.3541407178674645e-08,
16,4,interface_layer_3,Ayy,27,8.1746621339622e-09,2.434394482352109e-08,
16,4,interface_layer_3,Ayz,27,8.164688884231457e-09,2.439402942925467e-08,
16,4,interface_layer_3,Azz,27,8.156123176109877e-09,2.5294972732072332e-08,
16,4,interface_layer_3,Bx,27,8.16602886124204e-09,2.4420861406925212e-08,
16,4,interface_layer_3,By,27,8.175461589237717e-09,2.3718798243354925e-08,
16,4,interface_layer_3,Bz,27,8.185013327246677e-09,2.257949354157653e-08,
16,4,interface_layer_3,Gamx,27,8.154287516467782e-09,2.479602501689708e-08,
16,4,interface_layer_3,Gamy,27,8.162787231761077e-09,2.2862918241589657e-08,
16,4,interface_layer_3,Gamz,27,8.182224127002337e-09,1.9820096257804065e-08,
16,4,interface_layer_3,Khat,27,8.14634027801331e-09,2.2260755225917903e-08,
16,4,interface_layer_3,Theta,27,8.209738662853714e-09,2.0915433641965908e-08,
16,4,interface_layer_3,alpha,27,8.129496255266238e-09,2.190157450954189e-08,
16,4,interface_layer_3,betax,27,8.138448849328941e-09,2.461772116465208e-08,
16,4,interface_layer_3,betay,27,8.147522083471933e-09,2.6075298969674073e-08,
16,4,interface_layer_3,betaz,27,8.156715556142917e-09,2.601010992010549e-08,
16,4,interface_layer_3,chi,27,8.086253806253198e-09,1.850668648677948e-08,
16,4,interface_layer_3,gxx,27,8.07222181179654e-09,1.9947148039991755e-08,
16,4,interface_layer_3,gxy,27,8.063349701563502e-09,2.2662231503704777e-08,
16,4,interface_layer_3,gxz,27,8.063756601920702e-09,2.4330015674139184e-08,
16,4,interface_layer_3,gyy,27,8.074906911389306e-09,2.468126858445885e-08,
