resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
n256,2.5002524330555738,1.5399355241846155,R4,Z,2.459495954199168e-07,1080.958589476397,2.13097674081092e-09,0.00010333365563292596,3.9375,-0.0625,4.0,0.0
n256,2.5002524330555738,1.5399355241846155,R8,C,0.0001294552150245142,6869.769413544675,4.879281495361865e-07,0.0009799661405439635,4.6875,-0.125,4.6875,0.0
n256,2.5002524330555738,1.5399355241846155,R8,H,3.491138703909698e-05,6869.769413544675,2.7228987953972394e-07,0.0007483375957235694,4.6875,-0.125,4.6875,0.0
n256,2.5002524330555738,1.5399355241846155,R8,M,2.805792755577837e-05,6869.769413544675,2.711818289169578e-07,0.0007185821668352381,7.9375,-0.5,7.9375,-0.5
n256,2.5002524330555738,1.5399355241846155,R8,Z,1.4634438681421966e-05,6869.769413544675,3.053364774479147e-08,0.00024039144399947058,7.875,-0.0625,7.875,0.0
n256,2.5002524330555738,1.5399355241846155,R12,C,0.00018745609074376704,17543.555316328668,1.3174292691038141e-06,0.0012194496663260454,8.25,-0.125,8.0,-0.875
n256,2.5002524330555738,1.5399355241846155,R12,H,4.7739109616278665e-05,17543.555316328668,4.611092413199689e-07,0.0007483375957235694,8.0,-1.5,4.6875,0.0
n256,2.5002524330555738,1.5399355241846155,R12,M,4.559331539805375e-05,17543.555316328668,9.014205751502517e-07,0.0011165616289926321,8.0,-0.875,8.0,-0.8125
n256,2.5002524330555738,1.5399355241846155,R12,Z,2.1281111671337838e-05,17543.555316328668,3.1169204131307566e-07,0.0003881377215284466,8.25,-0.125,8.25,0.0
n256,2.5002524330555738,1.5399355241846155,R14,C,0.0001874560907443989,25180.75987065562,1.3174292691038141e-06,0.0012194496663260454,8.25,-0.125,8.0,-0.875
n256,2.5002524330555738,1.5399355241846155,R14,H,4.7739109616298424e-05,25180.75987065562,4.611092413199689e-07,0.0007483375957235694,8.0,-1.5,4.6875,0.0
n256,2.5002524330555738,1.5399355241846155,R14,M,4.559331539811913e-05,25180.75987065562,9.014205751502517e-07,0.0011165616289926321,8.0,-0.875,8.0,-0.8125
n256,2.5002524330555738,1.5399355241846155,R14,Z,2.128111167141285e-05,25180.75987065562,3.1169204131307566e-07,0.0003881377215284466,8.25,-0.125,8.25,0.0
n256,2.5002524330555738,1.5399355241846155,full,C,0.00018745947541566846,14290299.353237491,1.3174292691038141e-06,0.0012194496663260454,8.25,-0.125,8.0,-0.875
n256,2.5002524330555738,1.5399355241846155,full,H,4.774174994307734e-05,14290299.353237491,4.611092413199689e-07,0.0007483375957235694,8.0,-1.5,4.6875,0.0
n256,2.5002524330555738,1.5399355241846155,full,M,4.559336960890056e-05,14290299.353237491,9.014205751502517e-07,0.0011165616289926321,8.0,-0.875,8.0,-0.8125
n256,2.5002524330555738,1.5399355241846155,full,Z,2.1281274520535076e-05,14290299.353237491,3.1169204131307566e-07,0.0003881377215284466,8.25,-0.125,8.25,0.0
