resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n128,0.7608055358204662,0.4685625622416315,shell_32_64,C,4.0337675749612865e-13,1123913.579404838,4.1932604382784165e-15,8.210376563177601e-09,32.5,1.0,32.5,0.0,2.595626759884362e-11
n128,0.7608055358204662,0.4685625622416315,shell_32_64,H,3.997970818749954e-13,1123913.579404838,4.1577816513086295e-15,8.175705445978565e-09,32.5,1.0,32.5,0.0,9.995249640498707e-11
n128,0.7608055358204662,0.4685625622416315,shell_32_64,M,7.570092952023286e-16,1123913.579404838,1.5803671141869946e-17,7.012912998722468e-10,32.0,0.5,32.0,0.5,1.3258258962551577e-13
n128,0.7608055358204662,0.4685625622416315,shell_32_64,Z,1.4675963715304666e-17,1123913.579404838,1.289250125852025e-19,6.334145721863152e-11,32.0,0.5,32.0,0.5,1.40403013260834e-14
n128,0.7608055358204662,0.4685625622416315,shell_64_120,C,5.043886373405568e-15,6664779.767863071,4.8575552317109124e-17,3.447181953775449e-10,65.0,-2.0,0.0,-65.0,3.2456124953488993e-13
n128,0.7608055358204662,0.4685625622416315,shell_64_120,H,4.0209234408772004e-16,6664779.767863071,3.1817374781869833e-18,1.7457861545278064e-10,65.0,-2.0,2.0,-65.0,1.0052633047848737e-13
n128,0.7608055358204662,0.4685625622416315,shell_64_120,M,3.8494115788743053e-16,6664779.767863071,7.457060044911033e-18,1.810463872313969e-10,64.0,-2.0,64.0,-2.0,6.74185850683899e-14
n128,0.7608055358204662,0.4685625622416315,shell_64_120,Z,2.552708526377245e-19,6664779.767863071,1.508877031223896e-21,3.7952642295052535e-12,64.0,-1.0,2.0,-64.0,2.442142649250533e-16
n128,0.7608055358204662,0.4685625622416315,shell_gt_120,C,1.4912089281963176e-08,6302914.697468216,3.5509021063589144e-10,4.5606685567677134e-07,128.0,-2.0,128.0,0.0,9.595549884011322e-07
n128,0.7608055358204662,0.4685625622416315,shell_gt_120,H,1.4832943005799462e-08,6302914.697468216,3.5426455513509395e-10,4.5553670702247473e-07,128.0,-2.0,128.0,0.0,3.708355437486936e-06
n128,0.7608055358204662,0.4685625622416315,shell_gt_120,M,3.3511931184933706e-11,6302914.697468216,5.227232058599192e-13,1.7491834146977073e-08,128.0,-2.0,128.0,0.0,5.8692788160059075e-09
n128,0.7608055358204662,0.4685625622416315,shell_gt_120,Z,4.0065596204679174e-12,6302914.697468216,4.854854889918195e-14,5.328942972775424e-09,128.0,-2.0,128.0,0.0,3.833022855843175e-09
n128,1.011844081974866,0.623172124422098,shell_0_4,C,0.00023221658732182568,1107.9758963815793,9.309913329869652e-06,0.002608500181754488,3.875,-0.125,3.875,0.0,0.013568081094602304
n128,1.011844081974866,0.623172124422098,shell_0_4,H,2.3107047668276855e-05,1107.9758963815793,1.7924166487762947e-06,0.0012492367532104254,3.875,-0.25,3.875,0.0,0.002565174369937144
n128,1.011844081974866,0.623172124422098,shell_0_4,M,1.564838823291354e-05,1107.9758963815793,9.945331615733607e-07,0.001314306069721349,3.875,-0.25,4.0,0.0,0.006382135627003474
n128,1.011844081974866,0.623172124422098,shell_0_4,Z,4.5298697796360786e-05,1107.9758963815793,1.9030819416456518e-06,0.0011075332652458346,3.75,-0.125,3.75,0.0,0.0434413440457534
n128,1.011844081974866,0.623172124422098,shell_4_8,C,0.016878874707647932,5769.663887901344,0.0004750707829900653,0.013380481742934821,5.5,-0.125,5.5,-0.125,0.986208364614418
n128,1.011844081974866,0.623172124422098,shell_4_8,H,0.008983680631604134,5769.663887901344,0.0003710324699249374,0.011824929155409336,5.5,-0.125,5.5,-0.125,0.9973021060379436
n128,1.011844081974866,0.623172124422098,shell_4_8,M,0.0024361034673332704,5769.663887901344,5.7585285259264186e-05,0.00627272856696474,5.0,-0.125,5.0,0.0,0.9935555341880469
n128,1.011844081974866,0.623172124422098,shell_4_8,Z,0.0009969647301011054,5769.663887901344,2.117536669357536e-05,0.0028415617262276594,5.5,-0.125,5.5,0.0,0.9560868181354918
n128,1.011844081974866,0.623172124422098,shell_8_12,C,3.810873121774763e-06,10643.502721872785,2.4649304465763967e-07,0.00023895886417637152,8.0,-0.25,8.0,-0.25,0.00022266383359523446
n128,1.011844081974866,0.623172124422098,shell_8_12,H,1.18043638730646e-06,10643.502721872785,6.173294320172756e-08,0.00017129274783656,8.25,-0.25,8.0,-0.125,0.00013104335999690844
n128,1.011844081974866,0.623172124422098,shell_8_12,M,1.527831119506125e-07,10643.502721872785,7.616883022427347e-09,3.059404722116266e-05,8.25,-0.25,8.25,0.0,6.231201114588629e-05
n128,1.011844081974866,0.623172124422098,shell_8_12,Z,4.920008805154397e-07,10643.502721872785,4.506921665184559e-08,0.00010217880413122441,8.0,-0.25,8.0,-0.25,0.00047182768072864795
n128,1.011844081974866,0.623172124422098,shell_12_16,C,1.1134786015889654e-13,17082.02784579943,1.4112752331916896e-14,3.8752956518740105e-08,15.75,-0.5,15.75,0.0,6.505895266872478e-12
n128,1.011844081974866,0.623172124422098,shell_12_16,H,1.0266671918358429e-13,17082.02784579943,1.371079161011244e-14,3.820004579324632e-08,15.75,-0.5,15.75,0.0,1.1397303561926817e-11
n128,1.011844081974866,0.623172124422098,shell_12_16,M,4.2749403721423694e-15,17082.02784579943,1.5093315902592857e-16,4.015413443294196e-09,15.5,0.5,15.5,0.0,1.7435181723687013e-12
n128,1.011844081974866,0.623172124422098,shell_12_16,Z,2.8925880861054044e-16,17082.02784579943,6.843225011044368e-18,8.497996747684778e-10,15.75,0.5,15.75,0.0,2.77398513299531e-13
n128,1.011844081974866,0.623172124422098,shell_16_32,C,2.323826125875182e-12,164090.30790258342,4.944311569600991e-14,6.88796088885841e-08,16.5,-0.25,16.5,-0.25,1.3577781712007154e-10
n128,1.011844081974866,0.623172124422098,shell_16_32,H,2.234493582415374e-12,164090.30790258342,4.83598488030899e-14,6.812087605112538e-08,16.5,-0.25,16.5,-0.25,2.4805703219585674e-10
