diss,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z
0.10,3.750325025844545,2.310254424721048,full,C,0.0004902384468765381,47678.94423696366,4.917308748942853e-07,0.0009904041505185324,4.3125,-0.0625,4.25,0.0
0.10,3.750325025844545,2.310254424721048,full,H,0.00012557573160935202,47678.94423696366,3.287544614045282e-07,0.0008089248440228403,4.3125,-0.0625,4.25,0.0
0.10,3.750325025844545,2.310254424721048,full,M,7.416895495926951e-05,47678.94423696366,2.3302359572141412e-07,0.0006528484525271203,7.375,-0.75,7.375,-0.75
0.10,3.750325025844545,2.310254424721048,full,Z,6.947250403739944e-05,47678.94423696366,5.5124815803630135e-08,0.0003154252008770928,7.25,-0.0625,7.25,0.0
0.10,4.0012730729041035,2.464931723388596,R4,C,2.132339376394764e-05,1071.0848203069156,2.86759270187083e-07,0.0008004221617290454,3.875,-0.0625,3.875,0.0
0.10,4.0012730729041035,2.464931723388596,R4,H,1.1925090562353058e-05,1071.0848203069156,2.2942333346816688e-07,0.0007162070251069963,3.875,-0.0625,3.875,0.0
0.10,4.0012730729041035,2.464931723388596,R4,M,3.8023941921164894e-06,1071.0848203069156,5.691593561435281e-08,0.0003560613855580501,3.875,-0.0625,3.875,0.0
0.10,4.0012730729041035,2.464931723388596,R4,Z,1.18326363739787e-06,1071.0848203069156,9.658012225418713e-09,0.00015326916308155118,3.625,-0.0625,3.625,0.0
0.10,4.0012730729041035,2.464931723388596,R8,C,0.0002206142446532887,6805.189075636786,5.229336592869064e-07,0.0010309480713205465,4.1875,-0.0625,4.1875,0.0
0.10,4.0012730729041035,2.464931723388596,R8,H,8.459850920124977e-05,6805.189075636786,3.55603353933929e-07,0.0008509342442266643,4.1875,-0.0625,4.1875,0.0
0.10,4.0012730729041035,2.464931723388596,R8,M,5.603886254200944e-05,6805.189075636786,2.3103526827434396e-07,0.0006564611286136598,7.3125,-1.1875,7.3125,-1.1875
0.10,4.0012730729041035,2.464931723388596,R8,Z,1.6890705496885554e-05,6805.189075636786,4.2338255309069005e-08,0.00027498175063040054,7.125,-0.0625,7.125,0.0
