prescription,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,maxAbsKret,cycle,axisLapse,axisTau,axisKret,muMin,muMax
local_chi_gradient_norm,8.1562500000000038e-01,4.6874999999999998e-03,1.5805659369216518e-01,1.2537804226232821e-01,1.7575908177070578e-02,3.5475338527151761e-03,2.5396833395884499e-01,1.2604635473482912e+01,8.8000000000000000e+01,6.1589234197286447e-01,5.0233624708802571e-01,5.6380322028602237e-04,5.9070855207704772e-04,1.2445016840772406e-01
local_chi_gradient_norm,8.3437500000000020e-01,4.6874999999999998e-03,1.5695161150077652e-01,1.2307110299106883e-01,1.7689668625332201e-02,3.8079476047145947e-03,2.4835382820614693e-01,1.3267468843971891e+01,9.2000000000000000e+01,6.1589254610494137e-01,5.1388423039154518e-01,5.6375327056021774e-04,5.9071141154170962e-04,1.2433523020779960e-01
local_chi_gradient_norm,8.5312500000000002e-01,4.6874999999999998e-03,1.5518470773771223e-01,1.1972698039314233e-01,1.8291175304767471e-02,4.0362723443397005e-03,2.4248480500518532e-01,1.3845851626724397e+01,9.6000000000000000e+01,6.1589276582580421e-01,5.2543221766743398e-01,5.6370123398330322e-04,5.9071417457282603e-04,1.2411589854094723e-01
local_chi_gradient_norm,8.7187499999999984e-01,4.6874999999999998e-03,1.5333030303603087e-01,1.1596599734786585e-01,1.9342192346941265e-02,4.2307977264457687e-03,2.3616197167650796e-01,1.4348080947674248e+01,1.0000000000000000e+02,6.1589300199276842e-01,5.3698020921601231e-01,5.6364689857301298e-04,5.9071670039177770e-04,1.2388542276968051e-01
local_chi_gradient_norm,8.9062499999999967e-01,4.6874999999999998e-03,1.5140334843292863e-01,1.1190996508416963e-01,2.0722596162212486e-02,4.3950937381276849e-03,2.2985364965819644e-01,1.4781556168756513e+01,1.0400000000000000e+02,6.1589325546597684e-01,5.4852820535370705e-01,5.6359001412757920e-04,5.9071883534957093e-04,1.2367434368547943e-01
local_chi_gradient_norm,9.0937499999999949e-01,4.6874999999999998e-03,1.4903555362892265e-01,1.0730382950740308e-01,2.2289063272719782e-02,4.5367736354848540e-03,2.2415148830356027e-01,1.5152894769283883e+01,1.0800000000000000e+02,6.1589352710467504e-01,5.6007620641306954e-01,5.6353029430053492e-04,5.9072041528728707e-04,1.2347478829654539e-01
local_chi_gradient_norm,9.2812499999999931e-01,4.6874999999999998e-03,1.4591101740232826e-01,1.0187878660686611e-01,2.3970922987725064e-02,4.6617085138884653e-03,2.1880754933658453e-01,1.5527467437193922e+01,1.1200000000000000e+02,6.1589381776374241e-01,5.7162421274272601e-01,5.6346742645525599e-04,5.9072126839928522e-04,1.2321881077924207e-01
local_chi_gradient_norm,9.4687499999999913e-01,4.6874999999999998e-03,1.4192331946318218e-01,9.5517125356930979e-02,2.5781857725257477e-02,4.7696812274785382e-03,2.1459345472720162e-01,1.5811778994848751e+01,1.1600000000000000e+02,6.1589412829058165e-01,5.8317222470726571e-01,5.6340108868483535e-04,5.9072121836997000e-04,1.2279912770424990e-01
local_chi_gradient_norm,9.6562499999999896e-01,4.6874999999999998e-03,1.3731678733091868e-01,8.8443012436267843e-02,2.7733047183819526e-02,4.8640012423767139e-03,2.1016483162078475e-01,1.6011868605076597e+01,1.2000000000000000e+02,6.1589445952244182e-01,5.9472024268707524e-01,5.6333097169345477e-04,5.9072008734823692e-04,1.2223267499043089e-01
local_chi_gradient_norm,9.8437499999999878e-01,4.6874999999999998e-03,1.3279347363658087e-01,8.1396885883092171e-02,2.9750127108572624e-02,4.9548872563984110e-03,2.0552664517071118e-01,1.6135319551797735e+01,1.2400000000000000e+02,6.1589481228425458e-01,6.0626826707812698e-01,5.6325680286412353e-04,5.9071769885879141e-04,1.2182813671431657e-01
