case,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,nmb_total,maxRefLev,cycle,axisLapse,axisTau,axisKret,maxAbsKret,eta_shift,S_beta
fixed_eta2,5.990625000000022,0.009375,35.58714999302126,34.86326420299112,0.0463982765662676,0.12098379155124997,1.007812425874586,26.0,2.0,512.0,0.6008738091721667,3.682986658601445,0.0010814623966334458,1.9371802099694742,2.0,0.01875
fixed_eta2,6.028125000000023,0.009375,36.55611010359111,35.81267659823666,0.04667062090694522,0.12443264195475512,1.0212094266201042,26.0,2.0,516.0,0.6000833041046021,3.7055046431189513,0.0011616790471653603,2.0027912292211623,2.0,0.01875
fixed_eta2,6.065625000000025,0.009375,37.537802186137995,36.77445111669816,0.04684207975283539,0.12799614212359917,1.0350883006152503,26.0,2.0,520.0,0.599280771524426,3.727992751263728,0.0012230870101232554,2.0699146534532824,2.0,0.01875
fixed_eta2,6.103125000000026,0.009375,38.53196262435149,37.7482543395471,0.04699194360821351,0.1316721433761192,1.0494042290673236,26.0,2.0,524.0,0.5984687075759243,3.750450578013545,0.0012598527890522245,2.1385623227866315,2.0,0.01875
fixed_eta2,6.1406250000000275,0.009375,39.538767262999954,38.73426751860357,0.047119203834688324,0.13545899953946325,1.0640354348886796,26.0,2.0,528.0,0.5976498791922998,3.772877817031289,0.0012776160485571527,2.208744827933382,2.0,0.01875
fixed_eta2,6.178125000000029,0.009375,40.55796235494461,39.732255023827506,0.04720736012948031,0.13935500402145495,1.0788451386988398,26.0,2.0,532.0,0.5968273201607857,3.795274270763235,0.0012909440613233154,2.280472010099292,2.0,0.01875
fixed_eta2,6.21562500000003,0.009375,41.58869301950976,40.74133433027896,0.047293551208929176,0.1433553742564338,1.0937475190838952,26.0,2.0,536.0,0.5960043223558753,3.8176398602923602,0.0013159951714013486,2.353753631536862,2.0,0.01875
fixed_eta2,6.253125000000032,0.009375,42.630135243417186,41.76064593876208,0.04743717561207979,0.1474504786628803,1.1087449117206927,26.0,2.0,540.0,0.59518442440946,3.8399746348089274,0.001364216089241527,2.4285998560910973,2.0,0.01875
fixed_eta2,6.290625000000033,0.009375,43.681896135860526,42.78981969153661,0.047651489973166865,0.15162688536308477,1.1239196274484229,26.0,2.0,544.0,0.5943713991337702,3.862278780631371,0.0014413139623227766,2.505021307166877,2.0,0.01875
fixed_eta2,6.328125000000035,0.009375,44.74382191290162,43.828756456808314,0.04791493318957581,0.1558718590499899,1.1393870765883058,26.0,2.0,548.0,0.5935692392208387,3.884552629727398,0.0015500225146426172,2.583028706384162,2.0,0.01875
