resolution,time,axisTau,cycle,field,norm2,Linf,rho,z,classification,local_h,owner_levels,distance_axis_over_h,distance_outer_over_h,distance_same_level_over_h,distance_coarse_fine_over_h
n512,28.638343332724606,10.977607500252283,11040,H,0.11928478331519107,0.22630100126843322,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.638343332724606,10.977607500252283,11040,M,0.031002883281692237,0.10912153221286883,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.638343332724606,10.977607500252283,11040,Z,0.0024365265565509937,0.01437510667208435,0.5625,0.1875,clean_interior,0.03125,7,18.0,4078.0,6.0,110.0
n512,28.648510793498396,10.97981110904322,11044,C,0.1594674361115864,0.24930271909444557,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.648510793498396,10.97981110904322,11044,H,0.118672946042574,0.2241325273298158,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.648510793498396,10.97981110904322,11044,M,0.030869555181917786,0.10829817934887288,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.648510793498396,10.97981110904322,11044,Z,0.0024383825189489045,0.014454344722172377,0.5625,-0.15625,clean_interior,0.03125,7,18.0,4078.0,5.0,110.0
n512,28.65867697566947,10.9820152406103,11048,C,0.15873571770476225,0.24654557319889459,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.65867697566947,10.9820152406103,11048,H,0.11806568435884579,0.2216090346117776,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.65867697566947,10.9820152406103,11048,M,0.030737360330554343,0.10730520767865659,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.65867697566947,10.9820152406103,11048,Z,0.00244024082830817,0.014533190783227606,0.5625,-0.125,clean_interior,0.03125,7,18.0,4078.0,4.0,110.0
n512,28.668841877127594,10.984219897420818,11052,C,0.15800967464933408,0.24340423681185985,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.668841877127594,10.984219897420818,11052,H,0.11746296749139294,0.21873547311287855,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
n512,28.668841877127594,10.984219897420818,11052,M,0.030606286649038243,0.1061448082719073,0.5,0.0,same_level_seam,0.03125,7,16.0,4080.0,0.0,112.0
