variable,region,difference_128_256_rms,difference_256_512_rms,observed_order_rms,geometry,family
z4c_gyz,core_r8,0.0,0.0,,cc_base,state
z4c_gyz,core_r8_mb_interior,0.0,0.0,,cc_base,state
z4c_gyz,outer_or_nearest,0.0,0.0,,cc_base,state
z4c_gzz,full,1.7612553669222642e-05,2.312278910010545e-06,2.929216769592077,cc_base,state
z4c_gzz,axis_or_nearest,3.797202317750539e-07,2.3363636242773976e-07,0.7006720406586462,cc_base,state
z4c_gzz,core_r8,3.9648298581646784e-05,5.170907448268617e-06,2.9387695691961846,cc_base,state
z4c_gzz,core_r8_mb_interior,4.13233563549253e-05,5.3893680784677e-06,2.938769410002651,cc_base,state
z4c_gzz,outer_or_nearest,1.1450230125790585e-06,9.842997187217965e-07,0.21820700636204568,cc_base,state
z4c_Khat,full,2.504410804203006e-05,4.642528599811794e-06,2.431488527359476,cc_base,state
z4c_Khat,axis_or_nearest,1.5984042653814286e-06,5.686248879386108e-07,1.4910831878042219,cc_base,state
z4c_Khat,core_r8,5.6231520473336614e-05,1.0344335717211674e-05,2.4425380546439457,cc_base,state
z4c_Khat,core_r8_mb_interior,5.8607224425530375e-05,1.0781369445248549e-05,2.442538074206335,cc_base,state
z4c_Khat,outer_or_nearest,9.097895550468792e-06,3.3700415778236395e-06,1.4327664809437766,cc_base,state
z4c_Axx,full,2.7419540171230827e-05,2.8170388888609416e-06,3.2829529919789335,cc_base,state
z4c_Axx,axis_or_nearest,5.852891196011201e-07,3.7892601915654644e-07,0.6272332528569523,cc_base,state
z4c_Axx,core_r8,6.175242047053979e-05,6.131294945851453e-06,3.332231973958025,cc_base,state
z4c_Axx,core_r8_mb_interior,6.436137330595516e-05,6.390334064824408e-06,3.3322318523642678,cc_base,state
z4c_Axx,outer_or_nearest,1.48982029032051e-06,1.167275636854945e-06,0.3519930411749063,cc_base,state
z4c_Axy,full,6.8857405944565775e-06,1.450544586388957e-06,2.2470171901533287,cc_base,state
z4c_Axy,axis_or_nearest,6.788404067186756e-09,6.75566709053114e-10,3.3289023001023614,cc_base,state
z4c_Axy,core_r8,1.5449336795963813e-05,3.2555019655825823e-06,2.2465929932361437,cc_base,state
z4c_Axy,core_r8_mb_interior,1.610205114603334e-05,3.393042814932288e-06,2.246592936673773,cc_base,state
z4c_Axy,outer_or_nearest,3.2016687166051123e-07,1.8901417531813687e-07,0.7603296019417148,cc_base,state
z4c_Axz,full,0.0,0.0,,cc_base,state
z4c_Axz,axis_or_nearest,0.0,0.0,,cc_base,state
z4c_Axz,core_r8,0.0,0.0,,cc_base,state
z4c_Axz,core_r8_mb_interior,0.0,0.0,,cc_base,state
z4c_Axz,outer_or_nearest,0.0,0.0,,cc_base,state
z4c_Ayy,full,2.399851553967656e-05,2.499552480964435e-06,3.263203445274284,cc_base,state
z4c_Ayy,axis_or_nearest,1.1324147704683035e-06,7.579873749530944e-07,0.5791567478746514,cc_base,state
z4c_Ayy,core_r8,5.406529791649831e-05,5.477737639290756e-06,3.3030508162774765,cc_base,state
z4c_Ayy,core_r8_mb_interior,5.634948121919628e-05,5.7091642626734866e-06,3.303050851393891,cc_base,state
z4c_Ayy,outer_or_nearest,9.162492066156348e-07,1.019023342169263e-06,-0.15337514972687,cc_base,state
z4c_Ayz,full,0.0,0.0,,cc_base,state
z4c_Ayz,axis_or_nearest,0.0,0.0,,cc_base,state
z4c_Ayz,core_r8,0.0,0.0,,cc_base,state
z4c_Ayz,core_r8_mb_interior,0.0,0.0,,cc_base,state
z4c_Ayz,outer_or_nearest,0.0,0.0,,cc_base,state
z4c_Azz,full,4.82938917666838e-05,5.410216014844521e-06,3.1580826247709326,cc_base,state
z4c_Azz,axis_or_nearest,5.633011162841504e-07,3.7885149555081e-07,0.5722738874717754,cc_base,state
z4c_Azz,core_r8,0.00010887259459131833,1.2160825361837437e-05,3.1623277908542407,cc_base,state
z4c_Azz,core_r8_mb_interior,0.00011347232377643261,1.267460484408754e-05,3.162327788817168,cc_base,state
z4c_Azz,outer_or_nearest,9.01633526746384e-07,6.766060553384977e-07,0.41422507362739736,cc_base,state
z4c_Gamx,full,8.196226322424761e-05,7.20529601342142e-06,3.5078302154229486,cc_base,state
z4c_Gamx,axis_or_nearest,3.001781154205419e-07,8.597377216619953e-09,5.125778383373245,cc_base,state
z4c_Gamx,core_r8,0.00018267970993778121,1.597557551629165e-05,3.5153765941275887,cc_base,state
z4c_Gamx,core_r8_mb_interior,0.00019039739160220387,1.6650502414038468e-05,3.5153760991110548,cc_base,state
z4c_Gamx,outer_or_nearest,6.917463896906226e-06,3.779101109480606e-06,0.8722000909732767,cc_base,state
z4c_Gamy,full,6.862232239849166e-05,5.927134348474223e-06,3.5332712880286437,cc_base,state
z4c_Gamy,axis_or_nearest,1.729626322836196e-06,7.737590213457406e-07,1.1605041543532235,cc_base,state
z4c_Gamy,core_r8,0.00015456752075250832,1.3314086792477664e-05,3.5372118146210876,cc_base,state
z4c_Gamy,core_r8_mb_interior,0.00016109769920424362,1.3876584185658778e-05,3.537211501973014,cc_base,state
z4c_Gamy,outer_or_nearest,4.348164506654531e-06,2.3781436024791264e-06,0.8705706899151442,cc_base,state
z4c_Gamz,full,0.0,0.0,,cc_base,state
z4c_Gamz,axis_or_nearest,0.0,0.0,,cc_base,state
z4c_Gamz,core_r8,0.0,0.0,,cc_base,state
z4c_Gamz,core_r8_mb_interior,0.0,0.0,,cc_base,state
z4c_Gamz,outer_or_nearest,0.0,0.0,,cc_base,state
z4c_Theta,full,2.2694881392129065e-05,1.6165690923822378e-06,3.811359873614129,cc_base,state
z4c_Theta,axis_or_nearest,5.944071881738886e-07,3.6039895464119864e-07,0.7218567359780148,cc_base,state
z4c_Theta,core_r8,5.114380751781163e-05,3.533408386433327e-06,3.8554271606453026,cc_base,state
z4c_Theta,core_r8_mb_interior,5.330455266344377e-05,3.68268964268714e-06,3.855427031828149,cc_base,state
z4c_Theta,outer_or_nearest,2.7656939811164316e-06,2.35111649995448e-06,0.23429550619265668,cc_base,state
z4c_alpha,full,1.4871085788108075e-05,6.257878871104203e-06,1.2487643484291384,cc_base,state
z4c_alpha,axis_or_nearest,9.918259144806433e-07,4.3645067250844706e-07,1.1842683104422909,cc_base,state
z4c_alpha,core_r8,3.337984174586069e-05,1.4068313533039995e-05,1.2465277218730317,cc_base,state
z4c_alpha,core_r8_mb_interior,3.478910214227192e-05,1.4662257619429852e-05,1.246528186132913,cc_base,state
z4c_alpha,outer_or_nearest,3.7773381284932193e-06,1.7192570115299248e-06,1.1355847031811923,cc_base,state
z4c_betax,full,8.044154712337718e-06,7.986583626215496e-07,3.3322904220329788,cc_base,state
z4c_betax,axis_or_nearest,6.454637499377292e-08,1.938823047605809e-09,5.057083031470729,cc_base,state
z4c_betax,core_r8,1.787275644147455e-05,1.7039476262206202e-06,3.3908092548129267,cc_base,state
z4c_betax,core_r8_mb_interior,1.8627638667859893e-05,1.7759239141435979e-06,3.3908031238869896,cc_base,state
z4c_betax,outer_or_nearest,2.259186751370531e-06,1.2905799448870583e-06,0.8077840214522523,cc_base,state
z4c_betay,full,6.569471137994341e-06,6.629167952570954e-07,3.3088775242872916,cc_base,state
z4c_betay,axis_or_nearest,5.369063461986915e-07,2.5263682297470313e-07,1.0876055236972209,cc_base,state
z4c_betay,core_r8,1.478326221643987e-05,1.4542673855280197e-06,3.3456002069770396,cc_base,state
z4c_betay,core_r8_mb_interior,1.54077991836621e-05,1.5157064179040046e-06,3.3455985597686784,cc_base,state
