case,axis,offset,h,var,state,rhs
0,2,-1,0.125,53,0.0032500000000000003,-0.023943156249999997
0,2,-1,0.125,54,-0.0155,0.051923187500000002
0,2,0,0.125,0,0.25,-0.0026950000000000125
0,2,0,0.125,1,1,0.018199999999999997
0,2,0,0.125,2,0,-0.0195
0,2,0,0.125,3,0,-0.00090000000000000258
0,2,0,0.125,4,1,0.013400000000000002
0,2,0,0.125,5,0,0.0030000000000000001
0,2,0,0.125,6,1,-0.031600000000000003
0,2,0,0.125,7,0.012,0.007240331249999999
0,2,0,0.125,8,-0.0060000000000000001,-0.003612728124999999
0,2,0,0.125,9,0.014999999999999999,0.0017238195312500001
0,2,0,0.125,10,-0.0030000000000000001,0.00099084843749999967
0,2,0,0.125,11,0.018000000000000002,0.0026278968750000032
0,2,0,0.125,12,0,-0.0021497429687500009
0,2,0,0.125,13,-0.012000000000000002,0.00091643124999999357
0,2,0,0.125,14,0.0030000000000000001,-0.027848933333333332
0,2,0,0.125,15,-0.014999999999999999,0.030678366666666665
0,2,0,0.125,16,0.0060000000000000001,-0.0055898666666666435
0,2,0,0.125,17,-0.012,0.0054404249999999979
0,2,0,0.125,18,1.3999999999999999,-0.02411000000000009
0,2,0,0.125,19,0.090999999999999998,-0.21404999999999999
0,2,0,0.125,20,0.21200000000000002,-0.44646800000000009
0,2,0,0.125,21,0.29400000000000004,-0.59655000000000014
0,2,0,0.125,22,0.014999999999999999,0.011729666666666579
0,2,0,0.125,23,-0.0030000000000000001,-0.035998033333333367
0,2,0,0.125,24,0.018000000000000002,-0.0058229666666666582
0,2,0,0.125,25,0,0.0025292000000000092
0,2,0,0.125,26,-0.018000000000000002,0.020593999999999998
0,2,0,0.125,27,0.0030000000000000001,-0.021107999999999988
0,2,0,0.125,28,-0.014999999999999999,0.021326199999999979
0,2,0,0.125,29,0.0060000000000000001,0.0096230000000000013
0,2,0,0.125,30,0.014999999999999999,-0.023797799999999984
0,2,0,0.125,31,0.0090000000000000011,-0.013348799999999989
0,2,0,0.125,32,-0.0090000000000000011,0.0062609999999999975
0,2,0,0.125,33,0.012,-1.5999999999998654e-05
0,2,0,0.125,34,-0.0060000000000000001,0.00492619999999999
0,2,0,0.125,35,0.014999999999999999,-0.012882999999999999
0,2,0,0.125,36,-0.0030000000000000009,0.0090201999999999991
0,2,0,0.125,37,0.018000000000000002,-0.020300400000000007
0,2,0,0.125,38,0,0.0038729999999999997
0,2,0,0.125,39,-0.018000000000000002,-0.0036340000000000088
0,2,0,0.125,40,0.0030000000000000001,-0.0067864000000000058
0,2,0,0.125,41,-0.014999999999999999,0.023479999999999997
0,2,0,0.125,42,-0.021000000000000001,0.028060600000000022
0,2,0,0.125,43,-0.012,0.053405000000000064
0,2,0,0.125,44,0.0090000000000000011,-0.1061880000000003
0,2,0,0.125,45,-0.0090000000000000011,0.044537999999999925
0,2,0,0.125,46,0.012,-0.034306999999999963
0,2,0,0.125,47,-0.0060000000000000001,0.0083435000000000037
0,2,0,0.125,48,0.014999999999999999,-0.041272000000000003
0,2,0,0.125,49,-0.0030000000000000001,-0.0011345000000000096
0,2,0,0.125,50,0.018000000000000002,-0.034797999999999996
0,2,0,0.125,51,0,-0.012176500000000007
0,2,0,0.125,52,-0.018000000000000002,0.050310000000000007
0,2,0,0.125,53,0.0030000000000000001,-0.023211500000000013
0,2,0,0.125,54,-0.014999999999999999,0.050343000000000013
0,2,1,0.125,0,0.25187500000000002,-0.0027396246163737558
0,2,1,0.125,1,1,0.018441157812499998
0,2,1,0.125,2,0,-0.019161725390624999
0,2,1,0.125,3,0,-0.0034853007812500041
0,2,1,0.125,4,1,0.012411816015625002
0,2,1,0.125,5,0,0.0042794097656249997
0,2,1,0.125,6,1,-0.030852973828124998
0,2,1,0.125,7,0.013000000000000001,0.0070385071813523917
0,2,1,0.125,8,-0.0070000000000000001,-0.0036102709830210522
0,2,1,0.125,9,0.014749999999999999,0.001706829332509372
0,2,1,0.125,10,-0.0025000000000000001,0.0010439864334195214
0,2,1,0.125,11,0.019250000000000003,0.0026536168899618765
0,2,1,0.125,12,-0.00075000000000000002,-0.0021977844121734012
0,2,1,0.125,13,-0.012250000000000004,0.00089017886630136445
0,2,1,0.125,14,0.0037499999999999999,-0.028414791193570963
0,2,1,0.125,15,-0.016250000000000001,0.031013002483707683
0,2,1,0.125,16,0.0054999999999999997,-0.0054288380482910127
0,2,1,0.125,17,-0.01175,0.0052006947862514794
0,2,1,0.125,18,1.4012499999999999,-0.026739017642903738
0,2,1,0.125,19,0.089999999999999997,-0.21129899999999999
0,2,1,0.125,20,0.21175000000000002,-0.44772150000000005
0,2,1,0.125,21,0.29450000000000004,-0.59730250000000007
