receiver_gid,fine_j,fine_i,rho,z,variable,current,preserved,difference,captured,current_minus_captured,distance_to_known_seam
8,1,35,1.96875,-8.15625,chi,0.59568400145534639,0.59568400156932222,-1.1397582877492596e-10,0.59568400145534628,1.1102230246251565e-16,8.6962916396157048
8,1,35,1.96875,-8.15625,gxx,0.99261486000700383,0.9926148597165434,2.9046043348301964e-10,0.99261486000700383,0,8.6962916396157048
8,1,35,1.96875,-8.15625,gxy,-0.0063455394128344158,-0.0063455394307448927,1.7910476921012553e-11,-0.006345539412834415,-8.6736173798840355e-19,8.6962916396157048
8,1,35,1.96875,-8.15625,gyy,1.0159506232218198,1.0159506233239934,-1.0217360291164823e-10,1.0159506232218198,0,8.6962916396157048
8,1,35,1.96875,-8.15625,gzz,0.9916626753820742,0.9916626755726542,-1.9057999622873467e-10,0.99166267538207398,2.2204460492503131e-16,8.6962916396157048
8,1,35,1.96875,-8.15625,Khat,-0.0017175772524058105,-0.0017175794508208367,2.1984150261940977e-09,-0.0017175772524058105,0,8.6962916396157048
8,1,35,1.96875,-8.15625,Axx,0.0015865033786009485,0.0015865013475105029,2.0310904455707324e-09,0.0015865033786009481,4.3368086899420177e-19,8.6962916396157048
8,1,35,1.96875,-8.15625,Axy,0.00052146049065663258,0.00052145871677865805,1.7738779745221298e-09,0.00052146049065663258,0,8.6962916396157048
8,1,35,1.96875,-8.15625,Ayy,-0.0033992766608845846,-0.0033992762904266898,-3.704578948292292e-10,-0.0033992766608845846,0,8.6962916396157048
8,1,35,1.96875,-8.15625,Azz,0.0017265646292817765,0.0017265663229347919,-1.6936530153593282e-09,0.0017265646292817765,0,8.6962916396157048
8,1,35,1.96875,-8.15625,Gamx,-0.00087615788112695213,-0.00087615720870460787,-6.7242234425956421e-10,-0.00087615788112695224,1.0842021724855044e-19,8.6962916396157048
8,1,35,1.96875,-8.15625,Gamy,-0.0084814286730717191,-0.0084814274009800007,-1.2720917184211311e-09,-0.0084814286730717191,0,8.6962916396157048
8,1,35,1.96875,-8.15625,Theta,1.0127447842832786e-05,1.0126096256110569e-05,1.3515867222167445e-09,1.0127447842832786e-05,0,8.6962916396157048
8,1,35,1.96875,-8.15625,alpha,0.77551639160197494,0.77551639160275243,-7.7748918414499713e-13,0.77551639160197494,0,8.6962916396157048
8,1,35,1.96875,-8.15625,betax,-0.00040983971349195172,-0.00040983972777677272,1.4284820993182984e-11,-0.00040983971349195178,5.4210108624275222e-20,8.6962916396157048
8,1,35,1.96875,-8.15625,betay,-0.0037818541142721502,-0.003781854136453492,2.2181341832738788e-11,-0.0037818541142721498,-4.3368086899420177e-19,8.6962916396157048
8,1,35,1.96875,-8.15625,Bx,0.00047744752655627372,0.00047744752778211888,-1.2258451632246592e-12,0.00047744752655627372,0,8.6962916396157048
8,1,35,1.96875,-8.15625,By,-0.0030282522921040327,-0.003028252291716973,-3.8705974189645609e-13,-0.0030282522921040327,0,8.6962916396157048
8,0,36,2.03125,-8.21875,chi,0.59743156496546368,0.59743156456791224,3.9755143621533762e-10,0.59743156496546379,-1.1102230246251565e-16,8.7323762247884158
8,0,36,2.03125,-8.21875,gxx,0.99261841009991769,0.99261841112319527,-1.0232775737861743e-09,0.99261841009991769,0,8.7323762247884158
8,0,36,2.03125,-8.21875,gxy,-0.0063420829080782781,-0.0063420828708314735,-3.7246804598933814e-11,-0.0063420829080782781,0,8.7323762247884158
8,0,36,2.03125,-8.21875,gyy,1.0159764718006021,1.0159764714330923,3.6750980036970304e-10,1.0159764718006021,0,8.7323762247884158
8,0,36,2.03125,-8.21875,gzz,0.99163385510629809,0.99163385444271113,6.6358696315660382e-10,0.99163385510629809,0,8.7323762247884158
8,0,36,2.03125,-8.21875,Khat,-0.0016310384254899076,-0.0016310309270345586,-7.4984553490465428e-09,-0.0016310384254899076,0,8.7323762247884158
8,0,36,2.03125,-8.21875,Axx,0.0016029593214506291,0.001602966342966719,-7.0215160899098072e-09,0.0016029593214506293,-2.1684043449710089e-19,8.7323762247884158
8,0,36,2.03125,-8.21875,Axy,0.00052369802631201774,0.00052370402908383175,-6.0027718140143529e-09,0.00052369802631201774,0,8.7323762247884158
