receiver_gid,sender_gid,coarse_j,coarse_i,rho,z,variable,received_value,refreshed_value,difference,consumer_neighbor_gid,consumer_coarse_j,consumer_coarse_i,consumer_ox1,consumer_ox2
8,9,4,21,2.1875,-7.9375,gzz,0.99196032036771198,0.99196032870241191,8.3346999302236213e-09,2,2,20,0,-1
8,9,4,21,2.1875,-7.9375,gzz,0.99196032036771198,0.99196032870241191,8.3346999302236213e-09,2,2,21,0,-1
8,9,4,21,2.1875,-7.9375,gzz,0.99196032036771198,0.99196032870241191,8.3346999302236213e-09,2,3,19,0,-1
8,9,4,21,2.1875,-7.9375,gzz,0.99196032036771198,0.99196032870241191,8.3346999302236213e-09,2,3,20,0,-1
8,9,4,21,2.1875,-7.9375,gzz,0.99196032036771198,0.99196032870241191,8.3346999302236213e-09,2,3,21,0,-1
8,9,4,21,2.1875,-7.9375,Khat,0.002080791896223946,0.0020803173957783488,-4.7450044559716256e-07,2,2,19,0,-1
8,9,4,21,2.1875,-7.9375,Khat,0.002080791896223946,0.0020803173957783488,-4.7450044559716256e-07,2,2,20,0,-1
8,9,4,21,2.1875,-7.9375,Khat,0.002080791896223946,0.0020803173957783488,-4.7450044559716256e-07,2,2,21,0,-1
8,9,4,21,2.1875,-7.9375,Khat,0.002080791896223946,0.0020803173957783488,-4.7450044559716256e-07,2,3,19,0,-1
8,9,4,21,2.1875,-7.9375,Khat,0.002080791896223946,0.0020803173957783488,-4.7450044559716256e-07,2,3,20,0,-1
8,9,4,21,2.1875,-7.9375,Khat,0.002080791896223946,0.0020803173957783488,-4.7450044559716256e-07,2,3,21,0,-1
8,9,4,21,2.1875,-7.9375,Axx,0.00043757444475999878,0.00043736309427923862,-2.1135048076015208e-07,2,2,19,0,-1
8,9,4,21,2.1875,-7.9375,Axx,0.00043757444475999878,0.00043736309427923862,-2.1135048076015208e-07,2,2,20,0,-1
8,9,4,21,2.1875,-7.9375,Axx,0.00043757444475999878,0.00043736309427923862,-2.1135048076015208e-07,2,2,21,0,-1
8,9,4,21,2.1875,-7.9375,Axx,0.00043757444475999878,0.00043736309427923862,-2.1135048076015208e-07,2,3,19,0,-1
8,9,4,21,2.1875,-7.9375,Axx,0.00043757444475999878,0.00043736309427923862,-2.1135048076015208e-07,2,3,20,0,-1
8,9,4,21,2.1875,-7.9375,Axx,0.00043757444475999878,0.00043736309427923862,-2.1135048076015208e-07,2,3,21,0,-1
8,9,4,21,2.1875,-7.9375,Axy,0.00065366699223210888,0.00065316875710234575,-4.9823512976313392e-07,2,2,19,0,-1
8,9,4,21,2.1875,-7.9375,Axy,0.00065366699223210888,0.00065316875710234575,-4.9823512976313392e-07,2,2,20,0,-1
8,9,4,21,2.1875,-7.9375,Axy,0.00065366699223210888,0.00065316875710234575,-4.9823512976313392e-07,2,2,21,0,-1
8,9,4,21,2.1875,-7.9375,Axy,0.00065366699223210888,0.00065316875710234575,-4.9823512976313392e-07,2,3,19,0,-1
8,9,4,21,2.1875,-7.9375,Axy,0.00065366699223210888,0.00065316875710234575,-4.9823512976313392e-07,2,3,20,0,-1
8,9,4,21,2.1875,-7.9375,Axy,0.00065366699223210888,0.00065316875710234575,-4.9823512976313392e-07,2,3,21,0,-1
8,9,4,21,2.1875,-7.9375,Ayy,-0.001072284092627561,-0.0010723375656175242,-5.3472989963243914e-08,2,2,19,0,-1
8,9,4,21,2.1875,-7.9375,Ayy,-0.001072284092627561,-0.0010723375656175242,-5.3472989963243914e-08,2,2,20,0,-1
8,9,4,21,2.1875,-7.9375,Ayy,-0.001072284092627561,-0.0010723375656175242,-5.3472989963243914e-08,2,2,21,0,-1
8,9,4,21,2.1875,-7.9375,Ayy,-0.001072284092627561,-0.0010723375656175242,-5.3472989963243914e-08,2,3,19,0,-1
8,9,4,21,2.1875,-7.9375,Ayy,-0.001072284092627561,-0.0010723375656175242,-5.3472989963243914e-08,2,3,20,0,-1
8,9,4,21,2.1875,-7.9375,Ayy,-0.001072284092627561,-0.0010723375656175242,-5.3472989963243914e-08,2,3,21,0,-1
8,9,4,21,2.1875,-7.9375,Azz,0.00060116215470375385,0.00060143292351169252,2.7076880793866671e-07,2,2,19,0,-1
8,9,4,21,2.1875,-7.9375,Azz,0.00060116215470375385,0.00060143292351169252,2.7076880793866671e-07,2,2,20,0,-1
8,9,4,21,2.1875,-7.9375,Azz,0.00060116215470375385,0.00060143292351169252,2.7076880793866671e-07,2,2,21,0,-1
8,9,4,21,2.1875,-7.9375,Azz,0.00060116215470375385,0.00060143292351169252,2.7076880793866671e-07,2,3,19,0,-1
