case	target_time	time	region	maximum	radius
c	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_near_r_lt_1	3.95875592286939479e+01	3.60843918243516776e-02
c	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_inner_r_lt_0p5	3.95875592286939479e+01	3.60843918243516776e-02
c	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_0p5_1	1.91125488340818084e+00	5.01300392313165255e-01
c	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_1_1p5	7.77645210784218777e-01	1.00065082987690235e+00
c	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_annulus_1p5_2	4.38254956725826872e-01	1.50043396500256976e+00
c	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_outer_r_ge_2	2.84571871002505583e-01	2.00032549434669127e+00
c	1.00000000000000000e+00	1.00092218661476307e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
c	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta	5.17280327046510635e+01	3.60843918243516776e-02
c	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_near_r_lt_1	5.17280327046510635e+01	3.60843918243516776e-02
c	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_inner_r_lt_0p5	5.17280327046510635e+01	3.60843918243516776e-02
c	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_annulus_0p5_1	1.91125488354322859e+00	5.01300392313165255e-01
c	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_annulus_1_1p5	7.77645210784222551e-01	1.00065082987690235e+00
c	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_annulus_1p5_2	4.38254956725827594e-01	1.50043396500256976e+00
c	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_outer_r_ge_2	2.84571871002506582e-01	2.00032549434669127e+00
c	1.10305710361626907e+00	1.10305710361626930e+00	chi_beta_first_ge_1	1.00000000000000000e+00	3.60843918243516776e-02
