resolution,axisTau,time,cycle,leaf_count,minimum_chi,minimum_conformal_spd_pivot,minimum_conformal_determinant,minimum_physical_determinant,chi_psi_power,full_reconstructed_C,full_reconstructed_H,full_reconstructed_M,full_reconstructed_Z,full_history_C,full_history_H,full_history_M,full_history_Z,full_relative_difference_C,full_relative_difference_H,full_relative_difference_M,full_relative_difference_Z
n256,1.2343289578220378,2.0041327005191922,387,44,0.32585689425468445,0.694377563705828,0.999999862216887,1.9770138867374911,-4.0,0.00016474366477390177,3.89400346579274e-05,2.13998586993298e-05,2.4839554463172628e-05,0.00016478848076195775,3.8970698451964825e-05,2.139814459900221e-05,2.484345643399527e-05,-0.0002719606846834969,-0.0007868423008947946,8.010509133917415e-05,-0.0001570623167114338
n256,1.387509142391019,2.2528137941239863,422,44,0.3291209638118744,0.7154114367947102,0.9999998638239045,1.9770287356648866,-4.0,0.00020447435319178434,4.8029526522499005e-05,2.8560585678175955e-05,3.0100239238058976e-05,0.00020447117496770516,4.8074587121578705e-05,2.8539202869505444e-05,3.0095226499622564e-05,1.5543628972054863e-05,-0.0009373060025610437,0.000749243374746044,0.00016656257551259093
n256,1.5399355241846155,2.5002524330555738,457,44,0.3323763906955719,0.7284207756715801,0.9999998576363684,1.9770464821862694,-4.0,0.0002846960612468501,6.791818328798952e-05,5.2329613002165684e-05,3.876511011954282e-05,0.0002845739895533983,6.791409477165739e-05,5.229037735937773e-05,3.8748190667753534e-05,0.0004289629338345113,6.020129320544431e-05,0.0007503415498094025,0.00043665140223860053
n256,1.6954169867614353,2.7526262553674243,493,44,0.3355082869529724,0.737396134081294,0.9999998582276887,1.9770677779449526,-4.0,0.00035439074921144755,9.002737968373353e-05,7.384831991259768e-05,4.4857387716736396e-05,0.000354344984886086,9.001414906586914e-05,7.381512109414293e-05,4.4857904055460296e-05,0.00012915189240292406,0.0001469837575725002,0.0004497563366780214,-1.1510540556273003e-05
n256,1.8496360374205159,3.00292232696495,529,44,0.3382635712623596,0.7437828063183503,0.999999862826115,1.9770927408035948,-4.0,0.00039458397168768545,0.00010406355630489806,8.209888858283965e-05,4.9090968715658985e-05,0.00039459141548471664,0.00010405033315723671,8.208604447397463e-05,4.909878896676179e-05,-1.8864569119036665e-05,0.00012708414533728883,0.00015647128506825227,-0.00015927584503359156
n256,2.00270811551443,3.25132599008157,565,44,0.3407408595085144,0.7485109613883267,0.9999998566333573,1.977120365478749,-4.0,0.000443454055882001,0.00011410921520305567,8.402071610756023e-05,5.8042741998432204e-05,0.00044347820596543066,0.00011410836042568169,8.402115608600865e-05,5.804822408348881e-05,-5.4456077220534934e-05,7.490926789134315e-06,-5.236519811417972e-06,-9.444018560706186e-05
n256,2.159019718633561,3.504955836124646,602,44,0.3430698812007904,0.7532443455073263,0.9999998571366259,1.9771521909858052,-4.0,0.0005096110060892027,0.00012672091907944765,8.626985046727383e-05,7.057997510723313e-05,0.0005096354569366178,0.0001267204850091137,8.626890936375848e-05,7.058563352241477e-05,-4.797713165816611e-05,3.425415661296471e-06,1.0908953437444748e-05,-8.016383645324696e-05
n256,2.3102532679594496,3.750323164247853,638,44,0.3451709747314453,0.7568282197837277,0.9999998607168626,1.9771864702884634,-4.0,0.0005863000112975485,0.00014114967149414853,9.048923551375404e-05,8.485166603009382e-05,0.0005862947788174665,0.00014113374500034217,9.048803200112453e-05,8.485421763100084e-05,8.924657477905977e-06,0.00011284681637495318,1.3300240958853332e-05,-3.007040755609366e-05
n256,2.4649304294608076,4.001270994058924,675,44,0.3472065329551697,0.7608447976359116,0.9999998615345592,1.9772258377900476,-4.0,0.000673153574322286,0.00015610088165393316,9.481015215787604e-05,0.00010139398335999789,0.0006731461491081049,0.00015608190400163687,9.481107693961185e-05,0.00010139637464507262,1.1030612283795816e-05,0.00012158778058019168,-9.753941898555876e-06,-2.3583536226973968e-05
n256,2.6189351333336615,4.251153769883675,712,44,0.34900298714637756,0.7640923047933654,0.9999998611363198,1.9772686641364652,-4.0,0.0007670818470087515,0.00016990251208019768,9.872826220722109e-05,0.0001197820411593031,0.000767081845330225,0.00016990251209673664,9.872826205921652e-05,0.00011978204091086682,2.1881974877776632e-09,-9.734383462654991e-11,1.4991103606175962e-09,2.074069530152656e-09
