resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n512,3.5001372886737263,2.156049917260921,shell_gt_16,M,6.073611932061536e-06,13122.236429783996,1.7820109804853815e-09,5.429133534635455e-05,15.9375,-4.25,16.0,-4.3125,0.5209062702134724
n512,3.5001372886737263,2.156049917260921,shell_gt_16,Z,2.802827580932485e-05,13122.236429783996,1.2758821576625614e-08,0.00014723704590177916,15.9375,1.4375,16.0,0.0625,0.5812195812697128
n512,3.752283948003244,2.3114618478121076,shell_0_4,C,6.969759527288915e-08,1073.177139717763,3.3449944094743176e-10,5.41769991451303e-05,3.9375,-0.0625,3.9375,0.0,0.0002390020966174697
n512,3.752283948003244,2.3114618478121076,shell_0_4,H,3.577873373303233e-08,1073.177139717763,2.65405011668904e-10,4.827919838135131e-05,3.9375,-0.0625,3.9375,0.0,0.0010122320991430781
n512,3.752283948003244,2.3114618478121076,shell_0_4,M,1.1635199388627178e-08,1073.177139717763,6.42286200035512e-11,2.3700799278248652e-05,3.9375,0.03125,3.9375,0.0,0.0008875596439664662
n512,3.752283948003244,2.3114618478121076,shell_0_4,Z,4.750487943001042e-09,1073.177139717763,1.08617252247047e-11,1.0072050714854226e-05,3.71875,-0.03125,3.71875,0.0,7.851709901856335e-05
n512,3.752283948003244,2.3114618478121076,shell_4_8,C,1.3384204199153504e-06,5748.763515239083,2.0372704211348853e-09,0.00012243444766484322,7.34375,-0.90625,7.34375,-0.90625,0.004589617263880428
n512,3.752283948003244,2.3114618478121076,shell_4_8,H,4.747365735359446e-07,5748.763515239083,6.327809020667211e-10,6.895862316014245e-05,7.46875,1.25,7.46875,1.25,0.013430983945824357
n512,3.752283948003244,2.3114618478121076,shell_4_8,M,5.143577234997681e-07,5748.763515239083,1.457957877739692e-09,0.00010350066387015645,7.34375,-0.875,7.34375,-0.875,0.039236384585474716
n512,3.752283948003244,2.3114618478121076,shell_4_8,Z,7.48651115837784e-08,5748.763515239083,9.81791180560739e-11,2.6544538703567935e-05,7.25,-0.03125,7.25,0.0,0.0012373868642103893
n512,3.752283948003244,2.3114618478121076,shell_8_12,C,4.783814294447633e-07,10675.46374711551,1.0167071840893307e-09,8.713786267719734e-05,8.625,-0.8125,7.6875,-2.375,0.0016404319858167914
