family,gid,i,j,rho,z,region,difference,absolute_difference
C,28,20,4,5.3203125,-0.9296875,INTERIOR,-1.6159253935141542e-05,1.6159253935141542e-05
C,28,21,4,5.3359375,-0.9296875,INTERIOR,-2.0418708665450452e-07,2.0418708665450452e-07
C,28,22,4,5.3515625,-0.9296875,INTERIOR,-8.54351392625503e-06,8.54351392625503e-06
C,28,23,4,5.3671875,-0.9296875,INTERIOR,-7.70739741618896e-06,7.70739741618896e-06
C,28,24,4,5.3828125,-0.9296875,INTERIOR,-2.522537916913297e-06,2.522537916913297e-06
C,28,25,4,5.3984375,-0.9296875,INTERIOR,-4.758503764747471e-07,4.758503764747471e-07
C,28,26,4,5.4140625,-0.9296875,INTERIOR,1.0366007192235023e-05,1.0366007192235023e-05
C,28,27,4,5.4296875,-0.9296875,INTERIOR,9.702262854097317e-06,9.702262854097317e-06
C,28,28,4,5.4453125,-0.9296875,MESHBLOCK_EDGE_OR_CORNER,1.3320895976184563e-05,1.3320895976184563e-05
C,28,29,4,5.4609375,-0.9296875,MESHBLOCK_EDGE_OR_CORNER,2.9488743351555914e-05,2.9488743351555914e-05
C,28,30,4,5.4765625,-0.9296875,MESHBLOCK_EDGE_OR_CORNER,3.590173187194203e-05,3.590173187194203e-05
C,28,31,4,5.4921875,-0.9296875,MESHBLOCK_EDGE_OR_CORNER,3.5433876961669594e-05,3.5433876961669594e-05
C,28,0,5,5.0078125,-0.9140625,COARSE_FINE_INTERFACE,4.092881304301526e-05,4.092881304301526e-05
C,28,1,5,5.0234375,-0.9140625,COARSE_FINE_INTERFACE,3.789438829315296e-05,3.789438829315296e-05
C,28,2,5,5.0390625,-0.9140625,COARSE_FINE_INTERFACE,3.0365915500523127e-05,3.0365915500523127e-05
C,28,3,5,5.0546875,-0.9140625,COARSE_FINE_INTERFACE,2.8339973797274643e-05,2.8339973797274643e-05
C,28,4,5,5.0703125,-0.9140625,INTERIOR,-4.216247197522463e-06,4.216247197522463e-06
C,28,5,5,5.0859375,-0.9140625,INTERIOR,-1.3688833429099587e-06,1.3688833429099587e-06
C,28,6,5,5.1015625,-0.9140625,INTERIOR,-2.1966065040457394e-05,2.1966065040457394e-05
