coordinate_time,trusted_radius,field,region,E_128_256_rms,E_256_512_rms,Q_rms,p_rms,E_128_256_linf,E_256_512_linf,p_linf,samples
0.0,16.0,con_M,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,con_M,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,con_Z,trusted_core,4.417556311469766e-08,2.2860257814291377e-10,193.24175376132789,7.594263040864191,1.4409950797045212e-06,7.90054408006391e-09,7.510897684517264,6290
0.0,16.0,con_Z,axis_trusted,1.5032979526310434e-31,9.137141558188654e-31,0.16452606573483547,-2.6036119277817447,3.958239284296928e-31,4.2957147904035074e-30,-3.4399674760068852,127
0.0,16.0,con_Z,block_interiors_trusted,3.803127626376268e-08,1.9577451289268115e-10,194.2606098303026,7.601849585481348,1.2229174850553193e-06,6.68601942040159e-09,7.514963802175616,5500
0.0,16.0,con_Z,same_level_seams_trusted,7.658433914476543e-08,4.002552899166796e-10,191.33873074034287,7.579985123005913,1.4409950797045212e-06,7.90054408006391e-09,7.510897684517264,790
0.0,16.0,con_Z,full_domain,3.47892672834336e-08,1.800297637869799e-10,193.2417537613279,7.594263040864191,1.4409950797045212e-06,7.90054408006391e-09,7.510897684517264,8385
0.0,16.0,con_Z,outer_two_layers,1.6081765667989063e-31,8.756575797352918e-31,0.18365358834500725,-2.4449410102146234,1.0172656700734264e-30,4.293991421290688e-30,-2.077622804907682,759
0.0,16.0,con_Mx,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,con_Mx,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,con_Mx,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,con_Mx,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,con_Mx,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,con_Mx,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,con_My,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,con_My,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,con_My,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,con_My,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,con_My,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,con_My,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,con_Mz,trusted_core,0.0,0.0,nan,nan,0.0,0.0,nan,6290
0.0,16.0,con_Mz,axis_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,127
0.0,16.0,con_Mz,block_interiors_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,5500
0.0,16.0,con_Mz,same_level_seams_trusted,0.0,0.0,nan,nan,0.0,0.0,nan,790
0.0,16.0,con_Mz,full_domain,0.0,0.0,nan,nan,0.0,0.0,nan,8385
0.0,16.0,con_Mz,outer_two_layers,0.0,0.0,nan,nan,0.0,0.0,nan,759
0.0,16.0,z4c_Kretschmann,trusted_core,0.013738237968306933,0.000991624153102019,13.854279290526248,3.792259757635392,0.3264732360839844,0.023590087890625,3.790712027257938,6290
0.0,16.0,z4c_Kretschmann,axis_trusted,5.955932480252001e-09,4.560885484296089e-10,13.058719629684408,3.706941546560572,2.10711732506752e-08,1.6680132830515504e-09,3.659067963488151,127
0.0,16.0,z4c_Kretschmann,block_interiors_trusted,0.013197083048877541,0.000937205844929299,14.08130681245709,3.815709324058923,0.3264732360839844,0.023590087890625,3.790712027257938,5500
0.0,16.0,z4c_Kretschmann,same_level_seams_trusted,0.01736892871763616,0.001340375891759138,12.958252102580573,3.695799225686888,0.2542572021484375,0.02300262451171875,3.4664182591008714,790
0.0,16.0,z4c_Kretschmann,full_domain,0.01081917691559309,0.0007809267223219662,13.854279289385723,3.792259757516625,0.3264732360839844,0.023590087890625,3.790712027257938,8385
0.0,16.0,z4c_Kretschmann,outer_two_layers,6.118943659994557e-08,2.7813451615417407e-08,2.199994356904174,1.137499823169569,3.046761776204221e-07,1.3787757779937238e-07,1.143888842180562,759
0.0,16.0,z4c_Exx,trusted_core,0.0006822977413616373,4.9449773828280385e-05,13.79779296323961,3.786365612931982,0.02153182029724121,0.0015447139739990234,3.801058657666436,6290
