region,family,variable,rms_order,ring_rms_order,linf_order
core_r12_mb_interior,constraints,con_Mx,1.9986180823772712,2.8017143547720758,1.4741459774466519
core_r12_mb_interior,constraints,con_My,3.5526450320648615,3.7159721693216663,3.6972282813497497
core_r12_mb_interior,constraints,con_Mz,,,
axis,state,state_z4c_chi,-0.5456514620640084,,-0.49399318569320133
axis,state,state_z4c_gxx,-0.539515449659458,,-0.4872097758839597
axis,state,state_z4c_gxy,,,
axis,state,state_z4c_gxz,,,
axis,state,state_z4c_gyy,-0.5561057482528411,,-0.5105554651608861
axis,state,state_z4c_gyz,,,
axis,state,state_z4c_gzz,-0.539515449659458,,-0.4872097758839597
axis,state,state_z4c_Khat,1.26607438321748,,1.6708396106970331
axis,state,state_z4c_Axx,-0.38791509446582795,,-0.1890929471876725
axis,state,state_z4c_Axy,,,
axis,state,state_z4c_Axz,,,
axis,state,state_z4c_Ayy,-0.4190813937729398,,-0.24781164517151463
axis,state,state_z4c_Ayz,,,
axis,state,state_z4c_Azz,-0.38791509446582795,,-0.1890929471876725
axis,state,state_z4c_Gamx,,,
axis,state,state_z4c_Gamy,-0.2623232705432767,,-0.24638791151810885
axis,state,state_z4c_Gamz,,,
axis,state,state_z4c_Theta,-0.718435564364196,,-0.3627777558340946
axis,state,state_z4c_alpha,1.498066772069515,,0.3966831869745878
axis,state,state_z4c_betax,,,
axis,state,state_z4c_betay,-0.4144080070423485,,-0.2946523667775624
axis,state,state_z4c_betaz,,,
axis,state,state_z4c_Bx,,,
axis,state,state_z4c_By,2.125160035245562,,2.118878331556077
axis,state,state_z4c_Bz,,,
axis,rhs,rhs_z4c_chi,-0.3804193859052696,,-0.3011691464075966
axis,rhs,rhs_z4c_gxx,-0.4005788569258699,,-0.2916134830804282
axis,rhs,rhs_z4c_gxy,,,
axis,rhs,rhs_z4c_gxz,,,
axis,rhs,rhs_z4c_gyy,-0.4300122709313725,,-0.3446114637045297
axis,rhs,rhs_z4c_gyz,,,
axis,rhs,rhs_z4c_gzz,-0.4005788569258699,,-0.2916134830804282
axis,rhs,rhs_z4c_Khat,-3.397494745004172,,-3.654290801392441
axis,rhs,rhs_z4c_Axx,-1.8090749950800225,,-2.6545159644893532
axis,rhs,rhs_z4c_Axy,,,
axis,rhs,rhs_z4c_Axz,,,
axis,rhs,rhs_z4c_Ayy,-1.845957673277804,,-2.7008881506007754
axis,rhs,rhs_z4c_Ayz,,,
axis,rhs,rhs_z4c_Azz,-1.8090749950800225,,-2.6545159644893532
axis,rhs,rhs_z4c_Gamx,,,
axis,rhs,rhs_z4c_Gamy,1.8992920168158811,,1.6044736670443962
axis,rhs,rhs_z4c_Gamz,,,
axis,rhs,rhs_z4c_Theta,-1.7452951792406504,,-2.0001285658350003
axis,rhs,rhs_z4c_alpha,-0.11339258335090234,,-0.5051486179457352
axis,rhs,rhs_z4c_betax,,,
axis,rhs,rhs_z4c_betay,0.8932174847279477,,1.7332181002715257
axis,rhs,rhs_z4c_betaz,,,
axis,rhs,rhs_z4c_Bx,,,
axis,rhs,rhs_z4c_By,2.7838291323235973,,2.1950758588957564
axis,rhs,rhs_z4c_Bz,,,
axis,constraints,con_C,-1.3225309159742067,,-1.013472268404784
axis,constraints,con_H,-0.287092836502089,,-0.6718706276298545
axis,constraints,con_M,-3.1355854623277164,,-2.301218233873651
axis,constraints,con_Z,-1.1099938883045126,,-1.0237805255113608
axis,constraints,con_Mx,-0.9387298729322054,,-1.213106675762544
