gid,i,j,rho,z,axis_distance,block_edge_distance,coarse_fine_interface_distance,delta_C,delta_H,delta_M,delta_Z
30,10,25,5.1640625,-0.1015625,5.1640625,0.1015625,0.1640625,4.612645549261829,-0.045975865403599395,4.60978619172864,-7.647955280577911e-06
51,10,6,5.1640625,0.1015625,5.1640625,0.1015625,0.1640625,4.61264550731537,-0.04597586536648593,4.609786149657338,-7.647955412163192e-06
30,13,31,5.2109375,-0.0078125,5.2109375,0.0078125,0.2109375,4.4169983896611695,0.13179674071131803,4.3941393199888745,-4.9644931151817775e-05
51,13,0,5.2109375,0.0078125,5.2109375,0.0078125,0.2109375,4.416998385180876,0.1317967396930116,4.394139313878487,-4.964493061935178e-05
30,12,26,5.1953125,-0.0859375,5.1953125,0.0859375,0.1953125,4.252448196677034,0.1193120394996511,4.254863406082317,1.4342807747247889e-05
51,12,5,5.1953125,0.0859375,5.1953125,0.0859375,0.1953125,4.25244819340192,0.119312039906423,4.254863402759185,1.4342807531933621e-05
30,5,27,5.0859375,-0.0703125,5.0859375,0.0703125,0.0859375,4.25176200110872,-0.3066684342967502,4.22758337770479,0.00014368328629569847
51,5,4,5.0859375,0.0703125,5.0859375,0.0703125,0.0859375,4.251761898377917,-0.3066684361718385,4.227583274227827,0.00014368328834448314
30,6,25,5.1015625,-0.1015625,5.1015625,0.1015625,0.1015625,4.050883300904574,-0.24684463799886916,3.988428759159002,-1.5643082900476522e-06
51,6,6,5.1015625,0.1015625,5.1015625,0.1015625,0.1015625,4.050883251574152,-0.24684463602520132,3.9884287107457155,-1.5643084863864063e-06
30,2,27,5.0390625,-0.0703125,5.0390625,0.0390625,0.0390625,4.038103380414037,-0.06277723355021946,4.058102545871758,-3.292664965949844e-06
51,2,4,5.0390625,0.0703125,5.0390625,0.0390625,0.0390625,4.038103378524087,-0.06277723374406545,4.058102543631754,-3.2926649204307574e-06
30,12,27,5.1953125,-0.0703125,5.1953125,0.0703125,0.1953125,3.5477596005638237,-0.0181090504084455,3.556543431973099,-1.4811849122749308e-05
51,12,4,5.1953125,0.0703125,5.1953125,0.0703125,0.1953125,3.5477595737649987,-0.018109051011398224,3.5565434050378775,-1.48118489465911e-05
30,5,29,5.0859375,-0.0390625,5.0859375,0.0390625,0.0859375,3.4599924043219557,1.8127032798686487,1.0294440448782025,0.001897845228902326
51,5,2,5.0859375,0.0390625,5.0859375,0.0390625,0.0859375,3.4599923297783772,1.8127032753375159,1.029443976995112,0.001897845199542339
30,2,28,5.0390625,-0.0546875,5.0390625,0.0390625,0.0390625,3.2200044088335646,-0.6860817124201692,3.1283276830546964,-3.4362096467990694e-05
51,2,3,5.0390625,0.0546875,5.0390625,0.0390625,0.0390625,3.2200044067292213,-0.68608171107245,3.128327679390297,-3.436209610762027e-05
30,15,30,5.2421875,-0.0234375,5.2421875,0.0234375,0.2421875,3.016442689122525,-0.04123056272800184,3.0167807137391622,-1.908442046108884e-05
51,15,1,5.2421875,0.0234375,5.2421875,0.0234375,0.2421875,3.0164426591277884,-0.041230561934956854,3.016780683970393,-1.908442047896696e-05
30,4,24,5.0703125,-0.1171875,5.0703125,0.0703125,0.0703125,2.9423971955804427,-0.030497132733093544,2.9391410143540417,-6.570416359126104e-07
51,4,7,5.0703125,0.1171875,5.0703125,0.0703125,0.0703125,2.9423971906829913,-0.030497132681730765,2.9391410094524937,-6.57041516203365e-07
30,7,25,5.1171875,-0.1015625,5.1171875,0.1015625,0.1171875,2.6416133308233687,-0.21718718667742523,2.5953008417245664,-1.3974979784010962e-06
51,7,6,5.1171875,0.1015625,5.1171875,0.1015625,0.1171875,2.6416133102530406,-0.21718718472166748,2.595300821962863,-1.397498243456191e-06
