path	time	r_core	r_min	r_max	samples	measure	maximum	radius	r_over_r_core
frozen_wormhole	1.50000000000000000e+00	1.10363832351432697e-01	5.51819161757163487e-02	5.99999999999999978e-01	32769	d2B_dr2	0.00000000000000000e+00	5.99999999999999978e-01	5.43656365691809018e+00
frozen_wormhole	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	Ricci	6.08237320615602428e-01	2.50001368553939340e-01	2.42141137765742442e+00
frozen_wormhole	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	Riemann	8.71055890282294687e-01	2.15577194083032442e-01	2.08799285194109885e+00
frozen_wormhole	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	spin	1.45154947719034699e+00	2.50001368553939340e-01	2.42141137765742442e+00
frozen_wormhole	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	spin_derivative	9.69831455702203860e-01	3.59030778703651743e-01	3.47742581374972426e+00
frozen_wormhole	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	matched_source	1.21647464123120486e+00	2.50001368553939340e-01	2.42141137765742442e+00
frozen_wormhole	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	dB_dr	0.00000000000000000e+00	5.99999999999999978e-01	5.81135549376400284e+00
frozen_wormhole	1.60000000000000009e+00	1.03246136059623711e-01	5.16230680298118555e-02	5.99999999999999978e-01	32769	d2B_dr2	0.00000000000000000e+00	5.99999999999999978e-01	5.81135549376400284e+00
frozen_wormhole	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	Ricci	6.08237320598384978e-01	2.49997872384911501e-01	2.58830511576256095e+00
frozen_wormhole	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	Riemann	8.71055889613603251e-01	2.15583578136054443e-01	2.23200330803145297e+00
frozen_wormhole	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	spin	1.45154947716980187e+00	2.49997872384911501e-01	2.58830511576256095e+00
frozen_wormhole	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	spin_derivative	9.69831455661541053e-01	3.59032593302523295e-01	3.71717522675407652e+00
frozen_wormhole	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	matched_source	1.21647464119676996e+00	2.49997872384911501e-01	2.58830511576256095e+00
frozen_wormhole	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	dB_dr	0.00000000000000000e+00	5.99999999999999978e-01	6.21198514468343976e+00
frozen_wormhole	1.69999999999999996e+00	9.65874814613027766e-02	4.82937407306513883e-02	5.99999999999999978e-01	32769	d2B_dr2	0.00000000000000000e+00	5.99999999999999978e-01	6.21198514468343976e+00
frozen_wormhole	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	Ricci	6.08237320569445239e-01	2.50002997912271652e-01	3.16142782251443499e+00
frozen_wormhole	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	Riemann	8.71055890223619955e-01	2.15572857404887741e-01	2.72603942700679136e+00
frozen_wormhole	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	spin	1.45154947713527060e+00	2.50002997912271652e-01	3.16142782251443499e+00
frozen_wormhole	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	spin_derivative	9.69831455615957627e-01	3.59023224238185779e-01	4.54004959746014869e+00
frozen_wormhole	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	matched_source	1.21647464113889048e+00	2.50002997912271652e-01	3.16142782251443499e+00
frozen_wormhole	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	dB_dr	0.00000000000000000e+00	5.99999999999999978e-01	7.58733578936635489e+00
frozen_wormhole	2.00000000000000000e+00	7.90791414347180310e-02	3.95395707173590155e-02	5.99999999999999978e-01	32769	d2B_dr2	0.00000000000000000e+00	5.99999999999999978e-01	7.58733578936635489e+00
fixed_core	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Ricci	6.08237320612648125e-01	2.49998474121093717e-01	8.33328247070312389e-01
fixed_core	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Riemann	8.71055890298100044e-01	2.15574645996093717e-01	7.18582153320312389e-01
fixed_core	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin	1.45154947718682137e+00	2.49998474121093717e-01	8.33328247070312389e-01
fixed_core	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin_derivative	9.69831455414159715e-01	3.59037780761718717e-01	1.19679260253906250e+00
fixed_core	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	matched_source	1.21647464122529625e+00	2.49998474121093717e-01	8.33328247070312389e-01
fixed_core	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	dB_dr	6.24999998835846782e+00	4.49995422363281161e-01	1.49998474121093728e+00
fixed_core	0.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	d2B_dr2	6.41500298698219638e+01	5.36604309082031161e-01	1.78868103027343728e+00
fixed_core	5.00000000000000000e-01	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Ricci	3.95097989439607211e+00	4.46607971191406161e-01	1.48869323730468728e+00
fixed_core	5.00000000000000000e-01	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Riemann	4.49703265033315436e+00	4.37887573242187411e-01	1.45962524414062478e+00
fixed_core	5.00000000000000000e-01	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin	1.45154947718682137e+00	2.49998474121093717e-01	8.33328247070312389e-01
fixed_core	5.00000000000000000e-01	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin_derivative	3.10108260447382023e+00	4.40519714355468661e-01	1.46839904785156228e+00
fixed_core	5.00000000000000000e-01	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	matched_source	7.90195978879214422e+00	4.46607971191406161e-01	1.48869323730468728e+00
fixed_core	5.00000000000000000e-01	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	dB_dr	6.24999998835846782e+00	4.49995422363281161e-01	1.49998474121093728e+00
fixed_core	5.00000000000000000e-01	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	d2B_dr2	6.41500298698219638e+01	5.36604309082031161e-01	1.78868103027343728e+00
fixed_core	1.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Ricci	7.37279393863193722e+00	4.32371520996093661e-01	1.44123840332031228e+00
fixed_core	1.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Riemann	9.50177090786864476e+00	4.26214599609374911e-01	1.42071533203124978e+00
fixed_core	1.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin	1.50432978494395164e+00	4.28915405273437411e-01	1.42971801757812478e+00
fixed_core	1.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin_derivative	6.84911349395847679e+00	4.28549194335937411e-01	1.42849731445312478e+00
fixed_core	1.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	matched_source	1.47455878772638744e+01	4.32371520996093661e-01	1.44123840332031228e+00
fixed_core	1.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	dB_dr	6.24999998835846782e+00	4.49995422363281161e-01	1.49998474121093728e+00
fixed_core	1.00000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	d2B_dr2	6.41500298698219638e+01	5.36604309082031161e-01	1.78868103027343728e+00
fixed_core	1.25000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Ricci	8.09994384298516046e+00	4.26809692382812411e-01	1.42269897460937478e+00
fixed_core	1.25000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Riemann	1.10192431773225383e+01	4.22575378417968661e-01	1.40858459472656228e+00
fixed_core	1.25000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin	1.74843894976922742e+00	4.37704467773437411e-01	1.45901489257812478e+00
fixed_core	1.25000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin_derivative	8.40480276517909353e+00	4.26626586914062411e-01	1.42208862304687478e+00
fixed_core	1.25000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	matched_source	1.61998876859703209e+01	4.26809692382812411e-01	1.42269897460937478e+00
fixed_core	1.25000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	dB_dr	6.24999998835846782e+00	4.49995422363281161e-01	1.49998474121093728e+00
fixed_core	1.25000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	d2B_dr2	6.41500298698219638e+01	5.36604309082031161e-01	1.78868103027343728e+00
fixed_core	1.39999999999999991e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Ricci	8.06291209841710099e+00	4.22712707519531161e-01	1.40904235839843728e+00
fixed_core	1.39999999999999991e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Riemann	1.13409098770174719e+01	4.20263671874999911e-01	1.40087890624999978e+00
fixed_core	1.39999999999999991e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin	1.95019344164360087e+00	4.38848876953124911e-01	1.46282958984374978e+00
fixed_core	1.39999999999999991e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin_derivative	9.10515252788943208e+00	4.26626586914062411e-01	1.42208862304687478e+00
fixed_core	1.39999999999999991e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	matched_source	1.61258241968342020e+01	4.22712707519531161e-01	1.40904235839843728e+00
fixed_core	1.39999999999999991e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	dB_dr	6.24999998835846782e+00	4.49995422363281161e-01	1.49998474121093728e+00
fixed_core	1.39999999999999991e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	d2B_dr2	6.41500298698219638e+01	5.36604309082031161e-01	1.78868103027343728e+00
fixed_core	1.50000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Ricci	7.82876985711114237e+00	4.18821716308593661e-01	1.39607238769531228e+00
fixed_core	1.50000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	Riemann	1.12711248290644015e+01	4.18341064453124911e-01	1.39447021484374978e+00
fixed_core	1.50000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin	2.10383902070291251e+00	4.38986206054687411e-01	1.46328735351562478e+00
fixed_core	1.50000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	spin_derivative	9.45921494140320362e+00	4.27473449707031161e-01	1.42491149902343728e+00
fixed_core	1.50000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	matched_source	1.56575397142222847e+01	4.18821716308593661e-01	1.39607238769531228e+00
fixed_core	1.50000000000000000e+00	2.99999999999999989e-01	1.49999999999999994e-01	8.99999999999999911e-01	32769	dB_dr	6.24999998835846782e+00	4.49995422363281161e-01	1.49998474121093728e+00
