cycle,time,tau_c,authority_event,authority_event_index,records,agrees,would_refine_earlier,would_derefine,would_not_refine,other,native_refine,native_derefine,native_same,max_raw_dchi,max_dchi_over_dx,strongest_gid,strongest_logical_location,strongest_physical_location
136,0.418377148643438,0.2576736997395594,False,5,30,0,30,0,0,0,30,0,0,0.016903348348196432,0.10326008885972497,64,"[3, 2, 5, 0]","[8.125, 4.125]"
137,0.42354874275782306,0.26085882218347406,False,5,30,0,30,0,0,0,30,0,0,0.01690336303248207,0.10314611800122121,64,"[3, 2, 5, 0]","[8.125, 4.125]"
138,0.42872663158866764,0.26404782151903594,False,5,30,0,30,0,0,0,30,0,0,0.016903377907763174,0.10303110635596503,64,"[3, 2, 5, 0]","[8.125, 4.125]"
139,0.4339110544999676,0.26724084516915464,False,5,30,0,30,0,0,0,30,0,0,0.016903392974882504,0.10291441375575329,64,"[3, 2, 5, 0]","[8.125, 4.125]"
140,0.4391022466875051,0.2704380379896378,False,5,30,0,30,0,0,0,30,0,0,0.016903408234708765,0.10279602613372263,64,"[3, 2, 5, 0]","[8.125, 4.125]"
141,0.4443004391715943,0.27363954226472453,False,5,30,0,30,0,0,0,30,0,0,0.016903423688135952,0.10267592940053229,64,"[3, 2, 5, 0]","[8.125, 4.125]"
142,0.4495058587912384,0.2768454977034886,False,5,30,0,30,0,0,0,30,0,0,0.01690343933608422,0.10255410945423056,30,"[3, 2, 2, 0]","[8.125, -4.125]"
143,0.45471872819932857,0.28005604143688284,False,5,30,0,30,0,0,0,30,0,0,0.016903455179501134,0.1024305521900143,30,"[3, 2, 2, 0]","[8.125, -4.125]"
144,0.45993926585841016,0.28327130801513345,False,5,30,0,30,0,0,0,30,0,0,0.01690347121936264,0.10230524350994125,30,"[3, 2, 2, 0]","[8.125, -4.125]"
145,0.4651667654431147,0.28649086242271565,False,5,32,0,32,0,0,0,32,0,0,0.01690348745379912,0.1611761818071143,30,"[3, 2, 2, 0]","[8.125, -4.125]"
146,0.4704013557598667,0.28971478399180745,False,5,32,0,32,0,0,0,32,0,0,0.01690350388349655,0.16346762846971005,30,"[3, 2, 2, 0]","[8.125, -4.125]"
147,0.47564326511922317,0.2929432133380501,False,5,32,0,32,0,0,0,32,0,0,0.016903520509492214,0.16566631876524696,30,"[3, 2, 2, 0]","[8.125, -4.125]"
148,0.48089271797890465,0.2961762887042323,False,5,32,0,32,0,0,0,32,0,0,0.016903537332858105,0.16777243971643996,30,"[3, 2, 2, 0]","[8.125, -4.125]"
149,0.48614993490939434,0.29941414593910454,False,5,32,0,32,0,0,0,32,0,0,0.016903554354702807,0.16978632493292847,30,"[3, 2, 2, 0]","[8.125, -4.125]"
150,0.491415132560528,0.3026569184768045,False,5,32,0,32,0,0,0,32,0,0,0.01690357157617372,0.171708461505508,30,"[3, 2, 2, 0]","[8.125, -4.125]"
151,0.4966885236290427,0.30590473731687223,False,5,32,0,32,0,0,0,32,0,0,0.016903588998453827,0.17353949523093914,30,"[3, 2, 2, 0]","[8.125, -4.125]"
