gid,level,lx1,lx2,k,j,i,rho,z,z4c_chi,z4c_gxx,z4c_gxy,z4c_gxz,z4c_gyy,z4c_gyz,z4c_gzz,z4c_Khat,z4c_Axx,z4c_Axy,z4c_Axz,z4c_Ayy,z4c_Ayz,z4c_Azz,z4c_Gamx,z4c_Gamy,z4c_Gamz,z4c_Theta,z4c_alpha,z4c_betax,z4c_betay,z4c_betaz,z4c_Bx,z4c_By,z4c_Bz
23,3,5,14,0,4,44,5.6328125,-1.9921875,0.38610813452199311,0.6368879290053544,0.035100257830663444,0,1.4026968890349256,0,1.1209145191729895,2.2201026316259695,-0.51626630984080535,-0.040642581590587569,0,2.3474690780335612,0,-0.97219365239275435,-0.15097378391979666,20.105883061944947,0,0.30050598115643379,0.68084412040477227,0,0,0,26.430544484915348,-14.56382298770777,0
23,3,5,14,0,4,45,5.6484375,-1.9921875,0.38500921230442647,0.63582438358948556,0.034676132808099461,0,1.4108489484352751,0,1.1162586401074663,2.190468127206791,-0.48073018271846485,-0.042127146509093161,0,2.2070204194705187,0,-0.90706410591390996,-0.087851603157896127,19.634767238018789,0,0.22697495079411575,0.68110144019097463,0,0,0,26.461793844706037,-14.547544320416137,0
23,3,5,14,0,4,46,5.6640625,-1.9921875,0.38393633073506928,0.63484649778182578,0.034320415767116148,0,1.4188036249004443,0,1.1116735915526381,2.1751526367178275,-0.44622441835691523,-0.043687141538695164,0,2.068282233997607,0,-0.84398426594789666,-0.048655841853201313,19.189384156487645,0,0.1486884067557665,0.68136085952533199,0,0,0,26.498228643808748,-14.529424466503434,0
23,3,5,14,0,4,47,5.6796875,-1.9921875,0.38289269294932254,0.63396020489160865,0.034028023459386054,0,1.4265299181418356,0,1.1071680026257893,2.1480322643532053,-0.4128428510119434,-0.045301521837373661,0,1.9318848308074412,0,-0.78316289083388713,0.0057688781105376813,18.769239528704045,0,0.078989774538030022,0.68161517041004072,0,0,0,26.530517741760907,-14.515998821240732,0
23,3,5,14,0,4,48,5.6953125,-1.9921875,0.38188436816293975,0.63317287213558326,0.033803765899360842,0,1.4339825705567131,0,1.1027593409388576,2.1338408070811852,-0.38071171749022059,-0.047008472234146628,0,1.798486322063344,0,-0.72477882750888567,0.03873920399711047,18.37107919015552,0,0.0057476168397330059,0.68187125635422674,0,0,0,26.567538285602978,-14.501090873522271,0
23,3,5,14,0,4,49,5.7109375,-1.9921875,0.38091438875069938,0.6324868370847716,0.033642370027003814,0,1.4411380762639523,0,1.0984556152801506,2.1090493325537718,-0.34984649722600314,-0.048784324873175855,0,1.6684322852078641,0,-0.6689015977196785,0.084980120947373256,17.994287892517981,0,-0.059162580633643838,0.68212258270662374,0,0,0,26.600930225047289,-14.490519451168758,0
23,3,5,14,0,4,50,5.7265625,-1.9921875,0.3799880989003529,0.63190676764323528,0.033547155887112427,0,1.4479588872230622,0,1.0942719576255129,2.0959002191632048,-0.32029977575325158,-0.050659860497686886,0,1.5421028186701575,0,-0.61557932724414155,0.11227422274557981,17.636269543077287,0,-0.12678619080574446,0.68237538186331281,0,0,0,26.63865454675862,-14.478726916249725,0
23,3,5,14,0,4,51,5.7421875,-1.9921875,0.3791078568395872,0.63143419503276565,0.033513323723391129,0,1.454425526172181,0,1.0902142852694996,2.0731824429342889,-0.29204329882676883,-0.052614362089139041,0,1.4196557120145366,0,-0.56479583325794946,0.15144581839060464,17.296439581363199,0,-0.18651199205681296,0.68262373783036778,0,0,0,26.673240940313921,-14.471011193600928,0
23,3,5,14,0,4,52,5.7578125,-1.9921875,0.37827799337616436,0.63107302083860706,0.033542832335408883,0,1.4605056558651086,0,1.0862945968669693,2.060922361053918,-0.26508578314122311,-0.054671092749467978,0,1.3012927696172838,0,-0.51652429829220392,0.17403307650195937,16.972664439644856,0,-0.24836880700663752,0.6828732987663213,0,0,0,26.71177276389156,-14.46236545041066,0
23,3,5,14,0,4,53,5.7734375,-1.9921875,0.37750002155507728,0.63082535849251709,0.033629884969573656,0,1.4661817414957254,0,1.0825162594510731,2.0399812805917312,-0.23937567587521752,-0.056810849515474514,0,1.1870483425951983,0,-0.47069711326597102,0.20740575354680207,16.66426418377754,0,-0.30284639210904779,0.68311869399686731,0,0,0,26.747608858459827,-14.45751100245589,0
