sequence,case_id,target,role,path,sha256,prefix_bytes,prefix_lines
57,standard_r1,10.0,gauge_diagnostics,cases/standard_r1/gauge_source_diagnostics.csv,dd19d56aae33b6b76d2055de0fdfbdcdb008824b90661bb32f18a26143d7da0c,64854,102
57,standard_r1,10.0,horizon,cases/standard_r1/z4c_standard_r1.horizon_summary_0.txt,d8197a73bd28d88abf8e85b32a9e1f61fff23e14e9b55204633dc923d51f917c,1703,8
4,candidate_a_r1,0.1,history,cases/candidate_a_r1/z4c_candidate_a_r1.user.hst,bcf377f7f324125d5aa9e08a196a5ec636d19690abe5b1c567271c40ff93a784,1397,4
4,candidate_a_r1,0.1,constraints,cases/candidate_a_r1/z4c_candidate_a_r1.z4c.user.hst,503e53c8104a31005a551aa6338ae4a005ca31249d51cef379988e44012d42f4,727,4
4,candidate_a_r1,0.1,gauge_diagnostics,cases/candidate_a_r1/gauge_source_diagnostics.csv,012173310d3419a4447cbe2cedec9a3a32660962e727b448e90c95332fa0a516,2586,3
4,candidate_a_r1,0.1,horizon,cases/candidate_a_r1/z4c_candidate_a_r1.horizon_summary_0.txt,449233661293dab9867461b496ba23f5aab502a983d5df6607d0e177dd9d60da,322,2
13,candidate_a_r1,0.25,history,cases/candidate_a_r1/z4c_candidate_a_r1.user.hst,d0f1696b4a85d823a2792b3343d983384a3246a1b0f4a4494580a9881e0593a5,2794,8
13,candidate_a_r1,0.25,constraints,cases/candidate_a_r1/z4c_candidate_a_r1.z4c.user.hst,3f53a3a4a9adfc2fb2ac257bbeb76a488934ac06cc2a11c43aa3ef37d2ba5264,1454,8
13,candidate_a_r1,0.25,gauge_diagnostics,cases/candidate_a_r1/gauge_source_diagnostics.csv,ba9b5735fadf6bc363ac7d767f85731a9568e4dd3ac128b0884b192c8745a765,3945,5
13,candidate_a_r1,0.25,horizon,cases/candidate_a_r1/z4c_candidate_a_r1.horizon_summary_0.txt,de3169cecfdda9c6b132a0e2dc8515a0cc0611b7fb4647eaf424896708b8aa94,553,3
22,candidate_a_r1,0.5,history,cases/candidate_a_r1/z4c_candidate_a_r1.user.hst,a50be6b853936fc569bfc31e7d7bd5d9815bfe43f1f8115d12cbdcbe787e8521,4191,12
22,candidate_a_r1,0.5,constraints,cases/candidate_a_r1/z4c_candidate_a_r1.z4c.user.hst,b54f60f342d0971f48047060a88701397de3204a923f5b3b5bf9790856efbd68,2181,12
22,candidate_a_r1,0.5,gauge_diagnostics,cases/candidate_a_r1/gauge_source_diagnostics.csv,642d5c48b61fa778e89171184323cfd2965497143781ea577ebd0c34a45c0951,5282,7
22,candidate_a_r1,0.5,horizon,cases/candidate_a_r1/z4c_candidate_a_r1.horizon_summary_0.txt,fe61a0bc73e4780bbfaaa8ae8e17100ef504c42078c62f5e7671130820e4df30,783,4
31,candidate_a_r1,1.0,history,cases/candidate_a_r1/z4c_candidate_a_r1.user.hst,e19573543166b9166a2535dfb367c7f5e2ecfaf3af1c8edf4b41d662a7c11fa3,7175,19
31,candidate_a_r1,1.0,constraints,cases/candidate_a_r1/z4c_candidate_a_r1.z4c.user.hst,f63160a204fa31be7f6710741fd0ea6fefb9e90f4bb5761e02694735474040bc,3703,19
31,candidate_a_r1,1.0,gauge_diagnostics,cases/candidate_a_r1/gauge_source_diagnostics.csv,8b363c39c5e3e0829192e09bd963b1b16e8dc2d5ca56d29e7ee1a60ae675d876,8626,12
31,candidate_a_r1,1.0,horizon,cases/candidate_a_r1/z4c_candidate_a_r1.horizon_summary_0.txt,9a0058adf88a77c46b61232f39b5ccc1ac20f5e9fbf90c2900c2c39ddddbbc10,1013,5
40,candidate_a_r1,2.0,history,cases/candidate_a_r1/z4c_candidate_a_r1.user.hst,0e7668cc679c5da7991dd08d9e120c41f279012691cdc5cd2983f883947362ce,12804,31
40,candidate_a_r1,2.0,constraints,cases/candidate_a_r1/z4c_candidate_a_r1.z4c.user.hst,0e9ed8ff8a6f6bb14ace570c784963381fb94d952c77aded30dcf6c6743fc563,6550,31
40,candidate_a_r1,2.0,gauge_diagnostics,cases/candidate_a_r1/gauge_source_diagnostics.csv,452888598818c76eddc44602df530559a8b40835eb90ba4a7fe90531ef220a9a,15275,22
40,candidate_a_r1,2.0,horizon,cases/candidate_a_r1/z4c_candidate_a_r1.horizon_summary_0.txt,c3e8907e606ef436720fc192535a9b5d20cbb1ccfc6ccf96f5ec40a660f5c67c,1243,6
49,candidate_a_r1,5.0,history,cases/candidate_a_r1/z4c_candidate_a_r1.user.hst,834ac89c6023004266420e7a0f3692d0f1188d9c703936c60afa8cfb24705f2a,29013,63
49,candidate_a_r1,5.0,constraints,cases/candidate_a_r1/z4c_candidate_a_r1.z4c.user.hst,edec523e7f59cb81e4922606ba95bb6dff6e4f54ba00aeb6436e7d951bbcaddf,14697,63
49,candidate_a_r1,5.0,gauge_diagnostics,cases/candidate_a_r1/gauge_source_diagnostics.csv,54775bf04e2573040fbfb8a42013ab649abefbbe9f577a0118412c0a023ea5d9,34883,52
