cycle,time,stage,operation,field,region,rank,gid,level,i,j,k,x,y,z,max_abs,nonzero,bit_mismatch,nonfinite
0,0,0,init_reconstructed,z4c_Azz,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Azz,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Azz,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Azz,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamx,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamx,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamx,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamx,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamy,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamy,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamy,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamy,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamz,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamz,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamz,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Gamz,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Theta,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Theta,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Theta,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Theta,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_alpha,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_alpha,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_alpha,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_alpha,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_betax,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_betax,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_betax,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_betax,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_betay,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_betay,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_betay,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_betay,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_betaz,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_betaz,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_betaz,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_betaz,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Bx,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Bx,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Bx,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Bx,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_By,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_By,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_By,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_By,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_reconstructed,z4c_Bz,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Bz,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Bz,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_reconstructed,z4c_Bz,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
0,0,0,init_projected,z4c_chi,interior,0,0,0,19,17,12,-0.0625,-0.3125,-0.9375,0,0,0,0
0,0,0,init_projected,z4c_chi,exterior,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_projected,z4c_chi,outer_boundary,0,0,0,4,4,4,-1.9375,-1.9375,-1.9375,0,0,0,0
0,0,0,init_projected,z4c_chi,ghost,0,0,0,0,0,0,-2.4375,-2.4375,-2.4375,0,0,0,0
